#{"t_start": 1659702960.2273214, "env_id": "Ant-v2"}
return,length,time
-130.908455,57,39.787826
-454.838613,132,39.929928
-2945.163691,1000,42.837293
-94.910514,26,42.894552
-41.17566,19,42.91008
-108.99227,46,42.987719
-106.109707,35,43.015629
-251.671267,97,43.127965
-197.547916,67,43.217332
-28.564295,15,43.229584
-72.400402,21,43.285026
-382.361398,117,43.413927
-158.121393,54,43.491484
-92.318644,29,43.513314
-83.468795,38,43.582237
-126.352513,58,43.63303
-137.924004,40,43.705655
-84.540404,24,43.723822
-87.972073,27,43.783694
-251.916546,89,43.893849
-115.610381,33,44.196164
-260.288065,98,44.308088
-20.043883,7,44.314143
-69.341843,18,44.328686
-84.296803,26,44.386855
-115.660049,37,44.416221
-289.56113,105,44.533879
-270.852008,74,44.628272
-68.375434,25,44.688515
-170.539113,63,44.784717
-50.137871,13,44.798804
-153.039472,35,44.836816
-152.694189,47,44.921499
-279.812797,87,45.029457
-96.307022,33,45.094765
-72.686837,24,45.11528
-29.050781,9,45.122877
-2968.296334,1000,46.890298
-139.906681,45,46.928812
-199.910584,70,47.026627
-94.516878,48,47.104675
-46.430887,17,47.119604
-75.33751,20,47.136023
-59.278035,13,47.184726
-34.591207,22,47.201698
-181.965582,50,47.587935
-354.222759,115,47.721717
-301.006773,73,47.81898
-149.025983,66,47.906555
-207.328547,79,48.005475
-57.158139,24,48.023758
-80.126434,33,48.087497
-90.108236,35,48.115392
-152.806346,52,48.195548
-43.39675,23,48.214718
-42.706681,16,48.228135
-104.678571,32,48.292392
-265.991355,71,48.385848
-105.158638,35,48.413389
-95.522424,26,48.433289
-48.265,18,48.483641
-59.682442,20,48.499876
-33.455263,16,48.512751
-62.648582,20,48.528875
-215.970592,63,48.616371
-192.996255,78,48.717729
-152.563935,53,48.798513
