#{"t_start": 1657276463.5410242, "env_id": "Walker2d-v2"}
return,length,time
2.908504,23,5.606985
-2.151543,17,5.6211
1.841026,22,5.638664
4.547996,18,5.655472
-2.687709,15,5.667928
-0.110485,25,5.689751
-8.187039,21,5.706701
1.579906,18,5.724635
1.173012,10,5.733277
4.317039,17,5.746728
4.87045,39,5.778577
17.593695,47,5.816826
-0.104226,22,5.834578
-3.600471,14,5.846314
-4.68783,8,5.853376
-1.254058,10,5.861943
2.820002,14,5.872815
-4.882879,26,5.894352
-7.524455,28,5.916764
-5.097283,10,5.925298
1.57102,14,5.936363
2.841579,19,5.951443
1.650671,21,5.968869
17.004309,44,6.003263
-5.571716,13,6.014294
-2.801982,10,6.029379
-1.114735,11,6.038788
1.728243,28,6.061336
-0.003182,26,6.082535
-0.809798,44,6.116789
-8.084682,16,6.129617
-1.644413,19,6.145298
-5.15728,35,6.172957
-3.034306,13,6.184105
-2.414932,15,6.195584
1.455928,11,6.204669
-1.120064,12,6.214023
-0.038391,11,6.223114
-2.496523,15,6.241167
-10.432218,16,6.257037
2.701673,18,6.271674
0.770508,19,6.286902
-2.173441,17,6.299968
10.899889,26,6.32087
-0.587868,10,6.329716
2.548757,17,6.344178
-2.573607,12,6.354607
-2.065473,10,6.363129
-1.839746,12,6.372742
-1.249065,26,6.392599
-5.371766,9,6.399719
-0.327046,16,6.412526
-4.957099,13,7.570525
-0.079239,28,7.593357
-4.628267,25,7.613538
0.850071,22,7.631065
3.743903,25,7.650829
-6.733972,12,7.66118
-0.909505,13,7.671589
-3.421932,25,7.690036
-1.320832,11,7.698894
-4.568502,7,7.705087
1.167105,14,7.716019
5.63613,27,7.737494
-4.32573,21,7.754008
2.278655,18,7.769017
-3.916224,11,7.778202
-1.575335,17,7.795137
-10.576952,18,7.810301
-7.864351,21,7.827233
2.108006,11,7.839214
-1.21734,13,7.850234
-0.447975,24,7.869864
1.687091,17,7.884658
0.11652,12,7.89471
1.24048,29,7.916877
2.22217,19,7.932054
0.403147,12,7.941552
-4.630964,8,7.948421
-5.176763,14,7.960789
-2.956509,9,7.969122
-4.185984,22,7.987866
2.185483,16,8.00121
-4.404729,15,8.014031
-3.468234,14,8.025961
-3.284269,9,8.034117
2.322668,20,8.050403
-4.493961,14,8.062529
-0.388409,18,8.078252
-2.617491,18,8.093395
3.434436,20,8.11018
-0.567561,24,8.129115
-6.802462,23,8.146684
-1.162162,11,8.155828
1.682797,17,8.170123
0.899197,19,8.18626
-1.618896,21,8.202621
11.890088,36,8.231445
-3.023632,7,8.237762
-2.691269,10,8.246231
-2.430518,10,8.254595
-6.130616,31,8.284266
-5.212239,13,8.29922
2.608492,19,8.315942
-4.394199,9,8.324383
-6.820371,9,8.332566
-5.793772,13,8.34364
-2.521943,13,8.354295
-3.279177,8,8.36149
1.671544,15,8.373769
-2.451024,9,8.381668
4.914762,21,8.398584
-5.734272,10,8.407146
16.677832,31,8.662029
1.496396,18,8.676615
-0.608131,14,8.703479
1.186759,13,8.721353
-14.048015,17,8.734418
-4.73253,12,8.744141
-3.858996,9,8.751659
1.659135,14,8.762967
-5.290473,23,8.782518
-6.912821,16,8.795033
-1.791294,15,8.80718
-0.28649,11,8.81606
-1.080245,14,8.827475
7.978518,26,8.847218
-6.149389,22,8.864388
2.726039,25,8.885589
-7.299449,13,8.896141
-3.709161,17,8.90941
-6.809595,12,8.918744
-3.594245,10,8.926702
0.93783,16,8.938485
-2.916164,10,8.946927
3.067407,19,8.961719
2.79026,19,8.977597
0.589428,15,8.990048
0.647354,18,9.005104
-6.714314,9,9.013448
-4.537766,7,9.019692
0.511592,10,9.028017
-6.900904,14,9.039596
-2.206395,13,9.050409
-10.082206,16,9.063101
-0.642514,11,9.072459
-5.895866,18,9.087264
-6.842834,18,9.101909
-4.570878,14,9.113536
-1.998245,16,9.128184
-4.778011,8,9.135072
-2.70697,10,9.143585
-2.010871,14,9.154588
-6.712453,11,9.163717
-5.857144,11,9.172713
-11.670509,21,9.189847
-4.319197,14,9.201611
-6.951495,7,9.207718
-2.52091,13,9.218589
-3.383404,18,9.233258
-5.39079,22,9.251861
-5.39758,9,9.259466
-6.110657,21,9.277268
-0.440197,9,9.285094
-3.5457,10,9.29341
2.194581,16,9.31356
-4.025408,11,9.326565
6.582597,20,9.344151
1.148992,19,9.360049
-3.359827,10,9.368801
2.469359,21,9.385864
-4.910081,15,9.397896
-2.127647,11,9.407099
-2.921302,8,9.414133
-3.464911,8,9.421138
1.519698,11,9.43014
4.164221,16,9.45484
-1.864125,9,9.46484
-2.796158,11,9.483711
1.475793,16,9.506445
-9.392273,17,9.52071
10.322671,37,9.776018
6.560908,17,9.790676
-4.232383,6,9.79566
-1.147463,14,9.806414
-0.640937,19,9.820771
-1.458797,14,9.831493
-2.701994,10,9.839272
-1.618104,11,9.848495
3.986228,20,9.864149
-2.70198,10,9.872722
-0.533894,12,9.882997
-2.836237,7,9.889529
0.917923,13,9.899772
-5.381948,11,9.908323
-5.734752,18,9.921994
-8.79815,11,9.930412
-5.986181,8,9.936953
-7.337261,19,9.951128
-2.625658,29,9.972915
-9.403688,22,9.991597
-7.959968,21,10.008507
-9.24132,20,10.024971
-8.843669,23,10.044215
-9.664428,15,10.056287
-9.191182,16,10.073088
-0.653548,26,10.094205
-2.563631,10,10.103045
-7.031875,10,10.111478
-8.971831,16,10.124577
-4.037318,9,10.132106
-0.756892,11,10.141032
-4.738874,12,10.150713
1.807979,11,10.159838
-3.566334,14,10.170954
3.069287,35,10.198888
-3.580146,14,10.210543
-2.268787,9,10.217945
4.540648,16,10.231355
-0.979218,19,10.24652
-7.97995,24,10.291345
-6.039284,23,10.3098
-4.87508,24,10.333379
-5.283918,9,10.34422
-1.663272,9,10.354214
1.853657,12,10.364459
-6.582376,11,10.373563
4.692035,36,10.400652
-0.700942,15,10.412761
-7.634757,19,10.428038
0.441225,11,10.43739
-2.735816,11,10.446407
-3.031065,11,10.454904
-2.522676,10,10.462795
-0.698975,21,10.47911
-0.995536,29,10.502863
-5.308205,20,10.518108
-9.32335,13,10.528409
-4.922324,10,10.536577
-2.118432,10,10.544811
2.520817,26,10.56639
3.148995,15,10.578419
10.960578,28,10.883284
-9.699066,16,10.897847
-2.148876,15,10.909923
-1.214665,10,10.918142
-2.50423,9,10.925534
-4.023121,8,10.93212
1.00842,13,10.942426
-4.19694,13,10.952929
1.555552,20,10.968884
2.519955,17,10.982961
0.051849,20,10.998522
-11.27959,14,11.009384
-0.098265,10,11.017529
-2.708591,10,11.026468
3.484652,16,11.040037
-3.089707,24,11.058487
-0.873441,12,11.068265
-4.15494,17,11.081837
-2.957644,12,11.091397
-5.602304,12,11.100722
-3.167743,19,11.116268
-7.868992,17,11.133614
-8.74248,20,11.148823
-6.327969,11,11.15831
-3.832405,10,11.166641
-4.97235,9,11.174007
-4.468305,21,11.191586
3.121176,15,11.204167
-8.003208,18,11.218028
-15.618662,18,11.232689
-4.38568,10,11.241178
-5.257652,19,11.255501
-1.723414,11,11.264538
-1.851444,10,11.272343
-4.118523,27,11.293631
-6.981007,22,11.311559
1.151087,24,11.33052
-5.907546,12,11.340751
-2.379116,13,11.35157
-3.481138,13,11.371047
1.396808,13,11.38316
-4.125911,7,11.389256
-0.451988,10,11.397783
-1.842812,11,11.407409
-3.161269,21,11.423771
-3.924732,18,11.438122
-5.131521,24,11.458064
-2.220721,12,11.467988
-2.596125,9,11.475532
-11.236646,23,11.495422
-4.952933,22,11.513963
-7.202659,23,11.532263
-0.463474,25,11.552272
-5.322729,16,11.56544
-3.382202,10,11.57384
-4.438712,12,11.584383
2.619594,19,11.600142
-4.594587,7,11.60624
-4.787773,7,11.612387
-4.016681,20,11.628561
-11.261207,20,11.645035
1.900292,16,11.658511
-5.441861,10,11.667143
-5.119753,11,11.676389
-2.884273,11,11.685634
1.474352,14,11.696856
-5.08489,8,11.703721
-6.135391,9,11.711218
1.420167,18,12.588094
-7.805741,18,12.603429
-3.464543,9,12.6115
-10.466228,25,12.631469
-1.833675,16,12.644794
0.15002,15,12.657063
-2.366816,24,12.677224
3.078077,31,12.702358
-4.682364,21,12.718777
-3.453414,9,12.726834
-2.20645,9,12.734947
-1.22783,12,12.7471
0.342974,13,12.759898
-1.085257,11,12.771683
-0.932314,16,12.787502
-6.20744,17,12.80216
-7.634066,14,12.814447
-0.242762,30,12.838652
-0.918783,11,12.848104
-10.042119,19,12.862771
-0.414774,13,12.872573
1.424714,12,12.882049
-2.253488,9,12.890117
3.661919,25,12.909637
-5.900646,11,12.918357
-1.159339,13,12.928414
2.299968,12,12.937747
-2.480121,8,12.944215
-10.157696,17,12.957389
-3.211055,10,12.96588
-8.237418,13,12.976404
-1.408937,9,12.983582
-6.84122,22,13.001002
-5.192214,20,13.017652
-2.356001,14,13.029813
-1.603622,14,13.042102
-2.744288,18,13.057646
1.054523,12,13.068751
-6.709309,14,13.081166
-2.351569,7,13.087802
-2.943164,11,13.097629
-6.36053,21,13.114887
-6.767999,24,13.135699
0.147538,18,13.150322
0.611798,11,13.159488
-4.527582,7,13.165744
-11.282817,19,13.180485
-2.391149,12,13.191136
-1.598798,18,13.206554
-2.123431,14,13.221748
1.80649,13,13.255553
0.220332,12,13.273535
-0.957784,19,13.289369
1.580803,11,13.298499
-1.782368,11,13.308168
-9.201091,15,13.320105
-9.399652,16,13.333369
-10.329389,18,13.348139
-5.714686,9,13.356014
-6.570013,11,13.365604
-5.913552,21,13.382719
-6.199392,25,13.403176
-2.993261,17,13.427866
-11.521991,19,13.443749
-3.551138,28,13.700397
-2.48889,11,13.709718
-2.968093,7,13.715796
-2.376351,12,13.726512
-1.835021,14,13.737941
-2.990142,10,13.746259
-2.914874,21,13.763431
5.989188,28,13.785852
-5.80762,8,13.792997
-8.348705,19,13.808591
-12.078461,17,13.822878
-8.568367,22,13.841073
-8.093437,19,13.856617
-6.673117,21,13.874058
-4.117608,7,13.880508
-2.730107,8,13.887213
3.31333,26,13.90881
-8.534328,20,13.925612
-5.427288,13,13.936807
-4.075675,8,13.943788
-6.028491,12,13.953643
-6.767656,15,13.966065
-5.364115,9,13.973609
-3.458933,24,13.993262
2.988594,29,14.016803
-10.527746,15,14.029239
-2.921059,13,14.039942
-1.070487,10,14.048178
-5.112299,26,14.069091
-4.25717,8,14.07639
-7.278228,21,14.093215
-8.438679,17,14.106832
-0.065332,10,14.114877
-6.121298,18,14.129181
0.82067,11,14.137933
-10.540367,10,14.146018
-3.165658,25,14.165805
-0.649592,9,14.173201
-0.835154,9,14.180206
-2.82052,19,14.195084
-6.246832,15,14.206886
-10.991345,13,14.216647
-5.016292,13,14.226662
-1.060358,9,14.233574
-3.262913,10,14.241605
-0.27644,13,14.252122
-9.201774,17,14.266078
-1.142499,20,14.281693
-2.392626,9,14.288899
-0.037119,19,14.3036
-2.028264,9,14.310599
5.673108,16,14.323268
-5.631209,10,14.331725
-5.021314,10,14.340317
-6.950838,20,14.3568
-3.214921,25,14.376437
-9.271024,19,14.390759
-6.568042,24,14.409147
-6.5851,25,14.42944
-1.529087,8,14.438365
-0.399648,17,14.456066
-4.38224,13,14.466315
-5.975711,9,14.473533
-3.919169,14,14.484859
-0.813923,29,14.507318
-5.954562,22,14.757027
-10.37242,19,14.771704
-2.350408,8,14.778378
-1.035973,13,14.788795
-10.197386,19,14.803487
-1.053233,9,14.810486
-2.217433,10,14.81861
-2.014415,25,14.838086
-9.197826,20,14.854919
-0.076446,14,14.879794
-9.556094,18,14.89865
-2.869147,19,14.913856
-10.765425,17,14.928071
-7.942096,12,14.937815
-8.217791,19,14.952729
-2.398967,10,14.960605
-6.667102,23,14.978295
-4.912642,7,14.984511
-7.278218,14,14.995744
-3.652498,8,15.00294
-5.741604,22,15.020376
-3.58178,11,15.029539
-8.812574,11,15.038406
-0.187451,22,15.055871
-3.095229,25,15.076082
-3.947297,17,15.089768
-5.998755,17,15.10427
-3.68343,10,15.112582
-9.311698,22,15.1317
-2.185177,24,15.1508
-6.159216,13,15.161402
-5.821449,11,15.170746
-1.490855,10,15.17873
-4.042899,10,15.187202
-6.382936,10,15.195127
-6.757659,20,15.210487
-4.375112,26,15.231343
-6.877631,20,15.247061
-4.856534,17,15.261275
-3.008923,11,15.270156
-6.798924,21,15.285783
-5.105059,21,15.303105
-7.654037,17,15.316717
-4.40583,13,15.327257
-10.291663,15,15.338643
2.529767,25,15.358093
