#{"t_start": 1657271416.145628, "env_id": "HalfCheetah-v2"}
return,length,time
-0.527715,1000,113.498143
-0.24643,1000,127.750711
0.95583,1000,143.942356
-0.900305,1000,158.597119
0.500732,1000,173.667806
-1.095065,1000,187.031459
-0.142073,1000,201.063848
-1.214867,1000,214.961418
-1.470328,1000,228.547507
-0.483141,1000,241.429102
0.170546,1000,254.476716
-0.429817,1000,268.917319
-0.53696,1000,283.695032
-1.198836,1000,298.76492
0.460461,1000,312.115933
-0.207676,1000,326.153593
-0.35834,1000,339.907498
-0.75218,1000,353.939443
-1.221761,1000,367.479969
-0.467367,1000,380.476104
-5.256928,1000,555.46477
-4.015627,1000,569.092508
-5.316178,1000,583.731068
-3.982995,1000,597.673505
-4.404459,1000,611.499578
-2.981779,1000,624.686022
-2.910598,1000,637.839836
-3.382683,1000,650.796729
-3.692745,1000,663.642689
-4.627706,1000,676.696279
-4.402642,1000,690.70506
-4.079562,1000,709.382479
-3.528015,1000,722.981453
-4.245795,1000,736.179486
-3.880949,1000,750.11582
-5.645709,1000,764.140139
-4.362823,1000,778.18663
-3.426481,1000,792.206684
-3.069548,1000,805.797965
-3.756392,1000,818.697968
-10.465013,1000,941.057542
-8.424805,1000,955.018842
-10.860109,1000,968.958631
-10.589794,1000,982.00486
-10.24161,1000,994.828706
-10.391504,1000,1008.096326
-11.204499,1000,1020.897804
-9.236689,1000,1033.92082
-9.722554,1000,1046.53995
-9.990201,1000,1058.906852
-11.048221,1000,1070.711924
-9.120814,1000,1082.439804
-10.175325,1000,1095.730476
-10.805637,1000,1108.887526
-9.076477,1000,1122.074414
-10.103908,1000,1134.960499
-11.200007,1000,1147.403696
-12.121163,1000,1159.987208
-10.800807,1000,1173.507092
-10.236623,1000,1185.706297
-11.434859,1000,1306.424789
-12.532525,1000,1325.657081
-10.309091,1000,1338.145073
-10.269796,1000,1350.425011
-10.989582,1000,1362.552053
-10.776892,1000,1375.254866
-9.591357,1000,1387.627763
-9.121093,1000,1400.372008
-10.862789,1000,1412.463435
-10.878554,1000,1424.199256
-9.66306,1000,1436.477733
-9.851287,1000,1449.251496
-11.983757,1000,1461.089
