#{"t_start": 1657276463.5598137, "env_id": "Walker2d-v2"}
return,length,time
85.402935,103,3.228816
84.508879,103,3.29985
83.844324,101,3.370212
85.276155,105,3.444664
87.03898,104,3.547792
107.049036,121,3.710114
289.026316,266,3.942856
118.950609,231,4.197042
111.721082,125,4.284923
81.239267,98,4.376169
95.479361,116,4.462841
245.203546,229,4.625209
88.622953,107,4.733052
281.294235,258,4.927517
206.323677,223,5.083724
110.567502,127,5.171676
93.856757,110,5.257841
178.216058,172,5.378278
83.08836,105,5.454391
98.720535,114,5.535106
0.780642,27,12.157393
0.567909,26,12.174947
0.707713,27,12.193166
0.938373,27,12.211426
0.156946,26,12.22943
0.308779,26,12.248045
0.215098,26,12.266091
0.974035,27,12.28472
0.590739,27,12.303198
0.281499,26,12.32101
0.242347,26,12.339099
0.258778,26,12.356647
0.440684,26,12.411818
0.064776,26,12.442119
0.210818,26,12.460533
0.154648,26,12.479322
0.882836,27,12.498458
0.215039,26,12.517315
-0.091957,26,12.535984
0.601793,26,12.554543
-0.214836,25,18.006055
-0.156835,25,18.024736
-0.491408,24,18.042599
-1.0113,24,18.06015
-0.432459,25,18.079143
-0.830152,24,18.096498
-0.421303,25,18.123602
-0.894439,24,18.146984
-0.895575,24,18.192623
0.003544,25,18.216713
-0.815692,24,18.2407
-0.977856,24,18.261254
-1.060613,24,18.278709
-1.027159,24,18.295541
-0.730936,24,18.313762
-0.784665,24,18.330102
-0.129525,25,18.348212
-0.797498,24,18.365494
-0.750451,24,18.383041
-0.271712,25,18.404445
-6.178518,55,24.207294
-6.448011,55,24.247562
-6.799467,52,24.285374
-5.083427,54,24.324844
-7.055695,52,24.36152
-5.724855,53,24.39982
-6.69765,51,24.436816
-5.719651,54,24.474627
-6.567987,55,24.512909
-6.784009,49,24.547624
-6.033462,54,24.585956
-7.345831,54,24.651879
-6.486117,54,24.715008
-5.596907,53,24.753691
-6.65388,54,24.791
-5.970376,54,24.829229
-6.839531,54,24.86575
-6.155594,53,24.903658
-5.462526,55,24.941261
-6.764834,50,24.975806
-4.667478,49,31.117201
-3.814151,45,31.156669
-3.087134,45,31.196419
-4.622564,47,31.238967
-3.994028,45,31.279968
-4.430796,44,31.318268
-4.501245,45,31.357237
-4.280978,45,31.396985
-3.408739,45,31.440667
-3.640108,46,31.480973
-4.44225,49,31.53848
-4.700347,48,31.578533
-3.88038,45,31.616081
-4.660603,45,31.655004
-4.350262,45,31.692974
-3.633782,45,31.730799
-3.782387,45,31.769523
-4.91543,49,31.810923
-4.66722,45,31.847729
-4.161504,45,31.905521
-4.255664,47,37.806384
-3.987975,47,37.839477
-4.375756,47,37.871609
-4.067089,46,37.903071
-3.952506,47,37.936917
-4.229938,47,37.968927
-4.194664,47,38.001011
-4.027701,46,38.042124
-4.420883,46,38.074889
-4.335854,47,38.107426
-3.61715,46,38.13908
-4.026142,46,38.170042
-3.953205,46,38.201468
-4.341563,47,38.234686
-4.24712,46,38.265792
-3.981907,47,38.297952
-4.21171,46,38.330703
-4.410838,47,38.363577
-3.820732,46,38.395294
-4.12456,47,38.426946
-6.434704,41,43.793435
-5.956438,44,43.832724
-4.77422,43,43.921952
-5.809811,43,43.964984
-4.427637,44,43.996966
-4.648639,45,44.02686
-5.17293,43,44.057215
-5.268732,45,44.089208
-5.183889,45,44.122114
-5.573761,45,44.153841
-4.818115,42,44.18633
-4.414033,44,44.224809
-5.990548,42,44.267155
-4.820287,43,44.296689
-4.170934,43,44.325789
-4.82638,43,44.354707
-4.712092,45,44.384984
-5.020927,43,44.435843
-4.846528,44,44.467383
