Evaluate/discounted_episode_lengths,Evaluate/discounted_episode_returns,Evaluate/episode_lengths,Evaluate/episode_returns,Evaluate/iter,TRPO/cg_residual,TRPO/dist_mean,TRPO/dist_std,TRPO/fps,TRPO/grad_norm,TRPO/iter,TRPO/mse_loss,TRPO/nat_grad_norm,TRPO/reward,TRPO/step_size,TRPO/vf_loss,Discriminator/fake_logits,Discriminator/fake_prob,Discriminator/grad_norm,Discriminator/grad_penalty,Discriminator/iter,Discriminator/loss,Discriminator/regularization,Discriminator/true_logits,Discriminator/true_prob
173,145.6909413449723,165,151.79436831580816,0,,,,,,,,,,,,,,,,,,,,
,,,,,5.0976575e-07,-4.4596334e-05,1.0,21,0.30466488,1000,0.32530576,0.3393346,3.109414910795749e-08,0.47647505770467713,0.25137296,,,,,,,,,
,,,,,3.530032e-07,0.057049885,1.0017333,17,0.36168003,2000,0.36592975,0.41682023,-2.4835579097270967e-08,0.40717891013561186,0.33179265,,,,,,,,,
,,,,,8.7372734e-07,0.10095175,0.99163866,14,0.3417978,3000,0.37932554,0.33900735,1.1015028576366603e-08,0.46256190115739776,0.25249806,,,,,,,,,
,,,,,1.4836613e-06,0.15153836,0.97637373,12,0.28196752,4000,0.354475,0.30506718,3.0102910386631265e-08,0.5469790088693313,0.3282133,,,,,,,,,
,,,,,7.838737e-06,0.16592078,0.9587084,11,0.27954802,5000,0.42736587,0.3719064,-7.071648724377155e-09,0.61783210546425,0.37459004,,,,,,,,,
,,,,,,,,,,,,,,,,-0.24715468,0.43872774,13.127605,1.5372913,5000,1.5168078,0.0,-0.2266712,0.44386485
111,202.37019212847179,110,212.36760678792174,5000,,,,,,,,,,,,,,,,,,,,
,,,,,1.1997375e-05,0.2074635,0.9529232,39,0.31191757,6000,0.41829684,0.38290182,-3.152721910737455e-08,0.5586788817545134,0.37805742,,,,,,,,,
,,,,,6.512838e-06,0.19941719,0.9397665,28,0.30443472,7000,0.4897503,0.40527597,2.6406749384477733e-08,0.5058182597038113,0.46158704,,,,,,,,,
,,,,,1.035344e-05,0.21480405,0.93943816,21,0.3283155,8000,0.49299952,0.28752288,-6.479705916717648e-09,0.672863061135981,0.3367865,,,,,,,,,
,,,,,1.7060103e-05,0.21623804,0.9512606,17,0.33919853,9000,0.5916671,0.36081114,3.038215163542191e-08,0.5537212864553833,0.47860804,,,,,,,,,
,,,,,1.2775147e-05,0.24436389,0.9428013,15,0.34831405,10000,0.5878684,0.3779569,3.5825432860292492e-09,0.5376204870647837,0.52021515,,,,,,,,,
,,,,,,,,,,,,,,,,-0.2651395,0.43430334,11.889469,1.2206825,10000,1.1703637,0.0,-0.21482055,0.4468016
102,200.67543946463164,102,212.808225696596,10000,,,,,,,,,,,,,,,,,,,,
,,,,,4.0347633e-05,0.20239526,0.93604267,37,0.42112723,11000,0.5726728,0.36464256,6.313666381174698e-08,0.5535454828002603,0.38452226,,,,,,,,,
,,,,,0.00012656105,0.22167297,0.9275228,27,0.38867077,12000,0.6380891,0.37033397,-2.2455817088484765e-08,0.5169947749612901,0.25947395,,,,,,,,,
,,,,,6.387562e-05,0.23368941,0.91206306,21,0.34625822,13000,0.63575697,0.34733164,-7.173235644586384e-09,0.5509764589277019,0.2238345,,,,,,,,,
,,,,,8.9012996e-05,0.24262846,0.898337,17,0.5260364,14000,0.7498824,0.3942351,-1.4590938008041122e-08,0.49238458627926296,0.25231954,,,,,,,,,
,,,,,0.00015595272,0.24651681,0.89208317,14,0.2911245,15000,0.7095911,0.34195378,-1.6039310139603912e-08,0.6208731667499546,0.14355442,,,,,,,,,
,,,,,,,,,,,,,,,,-0.26196176,0.4351376,7.6770205,0.76041603,15000,0.6835341,0.0,-0.18507983,0.45416123
75,152.96728124057958,75,161.01905476091255,15000,,,,,,,,,,,,,,,,,,,,
,,,,,9.5551106e-05,0.2401136,0.88462865,47,0.38293955,16000,0.68264276,0.3045724,3.8328260416164996e-08,0.5674797386862204,0.18528147,,,,,,,,,
,,,,,9.286854e-05,0.22967798,0.8747231,31,0.46268255,17000,0.7059893,0.3368598,-2.5126235414063558e-08,0.48793158193585306,0.17783844,,,,,,,,,
,,,,,0.00029265427,0.25965226,0.8582019,23,0.5352144,18000,0.67925006,0.3478502,-8.794653695076705e-09,0.43371244219726013,0.104681626,,,,,,,,,
,,,,,0.00039269685,0.25998095,0.8370714,19,0.62223047,19000,0.8147642,0.37209937,-3.235969779780135e-08,0.4367611814831675,0.095035546,,,,,,,,,
,,,,,0.00029667086,0.2576087,0.8207996,16,0.35207593,20000,0.89989763,0.2962648,-2.620728628244251e-08,0.616651528217381,0.12448662,,,,,,,,,
,,,,,,,,,,,,,,,,-0.30765343,0.4240764,5.8603225,0.5898188,20000,0.42867577,0.0,-0.14651042,0.46371487
72,147.149463036775,72,153.12530453259728,20000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00069284876,0.25461385,0.8002777,50,0.34011585,21000,1.0656872,0.32789424,-1.0838411981239914e-08,0.6026912883258756,0.081633866,,,,,,,,,
,,,,,0.0003260711,0.26190677,0.790936,33,0.45585558,22000,1.0853971,0.3565856,-1.2432574294507504e-08,0.49601169953655566,0.07490546,,,,,,,,,
,,,,,0.0006695082,0.252373,0.779836,24,0.55588067,23000,1.1792922,0.40380284,-2.7633879653876648e-08,0.4526180654741855,0.062361293,,,,,,,,,
,,,,,0.0012805947,0.21693662,0.7672895,19,0.54074633,24000,1.3261632,0.30825472,1.4698074664920568e-08,0.5416429200454127,0.047371056,,,,,,,,,
,,,,,0.0014159764,0.21163456,0.75473017,16,0.64875734,25000,1.4017099,0.3911271,3.6057608667761088e-09,0.46131334918911004,0.0456844,,,,,,,,,
,,,,,,,,,,,,,,,,-0.39452946,0.40323827,5.534076,0.47370288,25000,0.20780605,0.0,-0.12863262,0.46822336
71,146.03066563259316,72,153.8679261096984,25000,,,,,,,,,,,,,,,,,,,,
,,,,,0.000727444,0.21605363,0.73908967,47,0.4270838,26000,1.4349893,0.2776636,2.2032727429177614e-08,0.6151643407483127,0.06300838,,,,,,,,,
,,,,,0.0013624681,0.20835388,0.7253039,31,0.68026483,27000,1.5250564,0.28880426,-5.61565684620291e-08,0.46434408801439997,0.049695678,,,,,,,,,
,,,,,0.0010050802,0.20870191,0.7138845,23,0.4950188,28000,1.4160498,0.2854799,-1.7777711036615073e-08,0.5375070048977793,0.038772266,,,,,,,,,
,,,,,0.002197267,0.20694923,0.7000988,19,0.46677142,29000,1.6156534,0.3250925,-1.4068147720536218e-08,0.5293741239743993,0.044367913,,,,,,,,,
,,,,,0.0013636998,0.21567668,0.6888907,16,0.7086033,30000,1.3376784,0.29334685,-7.356509740930051e-09,0.5616559878253141,0.03699754,,,,,,,,,
,,,,,,,,,,,,,,,,-0.5106333,0.3759282,4.7539783,0.49053913,30000,0.088456735,0.0,-0.10855088,0.47332177
76,161.25964852513067,76,168.73006966926377,30000,,,,,,,,,,,,,,,,,,,,
,,,,,0.002569582,0.22095546,0.677394,48,0.47483993,31000,1.6499802,0.34993386,-3.8413156289607286e-08,0.543078092002814,0.039592218,,,,,,,,,
,,,,,0.0043105255,0.21801351,0.6678959,32,0.33818036,32000,1.7673708,0.36109412,6.932526594027877e-08,0.6061491023378793,0.03026083,,,,,,,,,
,,,,,0.0044306754,0.24302527,0.6569959,24,0.500817,33000,1.8825127,0.2929829,-3.9155769627541305e-08,0.579877669777903,0.030695733,,,,,,,,,
,,,,,0.0016034658,0.22016628,0.64616513,19,0.83719176,34000,1.7750996,0.38617146,-3.4595766919665036e-08,0.4746328466530646,0.02779036,,,,,,,,,
,,,,,0.005034188,0.24300161,0.6323745,16,0.6303056,35000,1.9654793,0.34399334,-7.075959001667797e-08,0.45940966877059863,0.041559473,,,,,,,,,
,,,,,,,,,,,,,,,,-0.65008736,0.34433964,5.026884,0.39748916,35000,-0.18190494,0.0,-0.0706932,0.48272285
80,170.57322372376402,79,178.94803289378928,35000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0068371263,0.21852578,0.6143598,46,0.576722,36000,1.8597736,0.28640062,8.450305904261768e-08,0.5740130078395458,0.042570114,,,,,,,,,
,,,,,0.004465089,0.230486,0.61060953,31,0.5408538,37000,2.0004053,0.22555591,1.6037483874242754e-08,0.7321588546459752,0.027440632,,,,,,,,,
,,,,,0.006828061,0.23338552,0.60345846,23,0.61559755,38000,1.9397291,0.27201387,-1.2890568177681416e-07,0.6182091770073062,0.027525105,,,,,,,,,
,,,,,0.009602233,0.24088444,0.59357727,19,0.63440377,39000,2.2065613,0.31199828,-4.7515717596979814e-08,0.5073557632459643,0.03520257,,,,,,,,,
,,,,,0.014426215,0.22285983,0.5828425,16,1.1112123,40000,2.1608343,0.3027772,6.942535401321947e-08,0.434027742688901,0.04246863,,,,,,,,,
,,,,,,,,,,,,,,,,-0.8062582,0.31081268,4.6474133,0.3578582,40000,-0.37537983,0.0,-0.07302025,0.48266602
