#{"t_start": 1657271120.3552403, "env_id": "Hopper-v2"}
return,length,time
143.060238,171,60.094609
147.211494,175,61.938045
141.836056,170,63.79037
174.37891,203,65.850915
128.382331,156,67.558236
145.782286,174,69.698559
216.40407,245,73.005916
231.648745,204,75.71154
271.288633,243,78.815129
164.396249,193,81.367974
130.288421,158,83.271354
151.608362,180,85.357911
180.28782,209,87.863472
165.126867,194,90.082044
204.806665,234,92.830487
168.233794,197,95.297281
131.622777,159,97.077188
153.059362,182,99.256002
160.1282,189,101.408426
133.157569,161,103.202226
24.30062,23,217.745393
24.196084,23,218.05153
24.308696,23,218.329178
24.428655,23,218.616795
24.479343,23,218.937643
24.514021,23,219.238279
24.25063,23,219.630266
24.417905,23,220.038469
24.35802,23,220.388113
24.542978,23,220.691347
24.594065,23,221.03127
24.289748,23,221.34434
24.626966,23,221.654751
24.667368,23,222.00631
24.54257,23,222.325507
24.373341,23,222.698292
24.474267,23,223.05965
24.348127,23,223.379427
24.491291,23,223.678849
24.362209,23,224.036733
89.076363,61,352.317581
87.430469,60,353.952229
89.231124,61,355.718651
88.953066,61,356.866329
89.037367,61,358.007843
88.911077,61,359.05275
88.664374,60,360.048486
89.432339,61,361.078588
87.994142,60,362.128526
89.080849,61,363.190432
88.88344,61,364.210684
88.315158,60,365.182329
87.727279,60,366.253295
88.908734,61,367.215117
89.789994,61,368.310545
88.343698,60,369.360378
89.638035,61,370.456728
88.587373,61,371.459455
87.500414,60,372.461391
89.181339,61,373.652277
93.12994,61,518.72438
93.791429,62,519.76639
93.418463,61,520.696406
93.676478,61,521.739196
94.998161,62,522.819496
94.235981,61,523.873673
94.451643,61,524.928364
93.062371,61,525.922288
93.089752,61,527.143245
94.150233,61,528.303319
94.208355,61,529.335752
93.969669,61,530.269503
94.833131,62,531.326524
93.1687,61,532.252278
94.06841,61,533.161326
95.202031,62,534.290579
94.972468,62,535.390338
93.067078,61,536.552418
94.074904,61,537.791395
94.023551,61,539.040466
86.773723,55,680.449478
87.156858,55,681.43206
86.640334,55,682.469426
87.347464,55,683.445454
87.344925,55,684.559489
86.957743,55,685.599674
86.946755,55,686.588993
87.359625,55,687.661602
86.838453,55,688.683744
88.28241,56,689.699606
87.781231,55,690.730065
88.174904,55,691.815387
87.851406,56,693.0218
87.627288,55,694.184442
88.092055,56,695.242578
88.29597,56,696.382906
86.953358,55,697.361001
87.117458,55,698.301727
87.532006,56,699.347793
87.095077,55,700.367411
97.14687,59,838.420668
95.130429,58,839.465305
94.092965,58,840.462976
95.405828,58,841.456037
94.219745,57,842.554288
95.129346,58,843.591317
95.683924,58,844.828774
95.137605,58,845.852683
95.287656,58,846.921864
95.136118,58,847.932363
95.270443,58,848.983433
94.707948,58,850.08759
94.438949,58,851.184752
94.817919,58,852.277601
94.868993,58,853.417423
94.526902,58,854.512655
94.482917,58,855.742311
94.428165,58,856.770313
94.128596,58,857.724023
96.727985,59,858.743685
106.795493,62,1000.17108
108.252789,63,1001.179489
107.443444,62,1002.302251
107.730141,62,1003.208011
107.90869,62,1004.276543
107.066629,62,1005.33689
108.549017,63,1006.541233
107.439172,62,1007.624583
107.3609,62,1008.746486
107.693319,62,1010.094487
108.84405,63,1011.304241
106.74824,62,1012.42803
108.519007,63,1013.657459
107.196158,62,1014.716667
106.87159,62,1015.758307
107.439869,62,1016.824459
108.960551,63,1017.793576
107.770163,62,1018.807545
106.715284,62,1019.955494
107.919004,62,1020.976395
117.036842,66,1157.797065
117.330479,66,1158.859968
116.912613,66,1159.877895
116.608326,66,1161.039362
116.908401,66,1162.12719
117.188665,66,1163.300954
116.399626,66,1164.409654
116.469084,66,1165.419222
117.63056,66,1166.475538
116.554299,66,1167.699811
116.411411,66,1168.865251
116.785976,66,1170.012025
116.688099,66,1170.987908
116.706556,66,1172.096273
116.621236,66,1173.127067
116.697893,66,1174.094639
117.109089,66,1175.18644
116.603137,66,1176.305069
117.254624,66,1177.37588
117.305467,66,1178.57293
256.467571,104,1312.747478
249.697272,102,1314.395137
254.042291,103,1316.132028
249.728576,102,1317.820983
238.239263,98,1319.420581
239.424258,99,1321.161697
248.588391,101,1322.764122
250.809143,102,1324.729281
256.694191,104,1326.625984
251.450112,102,1328.404378
253.370974,103,1330.193534
248.44013,101,1331.898483
250.487767,102,1333.438999
243.527876,100,1335.106109
245.677964,100,1336.85651
244.770337,100,1338.587609
253.283824,103,1340.281545
250.919236,102,1341.928846
247.812387,101,1343.661516
247.952701,101,1345.184094
266.876065,104,1476.389215
268.988029,104,1478.000566
267.470672,105,1479.83344
267.986481,104,1481.474444
274.020815,105,1483.125649
273.412096,105,1484.939732
265.282189,104,1486.726495
270.982041,104,1488.549704
268.706261,104,1490.333325
273.222996,105,1492.164371
267.851153,105,1494.255312
264.997329,104,1496.038402
271.016904,105,1497.967165
265.382189,105,1499.82847
268.984772,105,1501.689327
273.537144,105,1503.248429
273.845278,105,1504.883975
272.999144,105,1506.616248
271.616364,105,1508.359091
270.708174,104,1510.071351
390.052457,132,1647.875457
383.347456,131,1649.688143
388.702111,132,1651.731383
388.357978,132,1653.878598
389.553525,132,1656.140299
387.084307,133,1658.391564
386.271515,132,1660.498835
389.65088,134,1662.569984
387.914438,132,1664.647795
385.699525,131,1666.976212
389.064497,132,1669.275881
387.678218,132,1671.421578
389.619072,132,1673.359601
385.027818,131,1675.351799
387.004321,132,1677.394137
387.07991,132,1679.667793
386.883539,133,1681.913642
386.678331,133,1683.897408
385.321841,132,1685.97701
385.3161,131,1687.961362
386.797166,134,1814.947823
405.734807,138,1817.146368
401.764131,137,1819.224534
397.010462,136,1821.150725
399.666097,136,1823.035476
388.106368,134,1824.960637
386.425035,134,1826.991731
384.15675,133,1829.389541
409.014322,139,1831.890548
405.462091,138,1834.098349
387.009738,134,1836.183151
385.104351,134,1838.291846
386.380208,134,1840.482232
388.026307,134,1842.712374
387.174172,134,1844.82908
382.170509,133,1846.814405
392.844926,135,1848.831018
401.119318,137,1851.207721
397.329584,136,1853.929756
384.130016,133,1856.263867
383.992016,134,1982.311156
369.925022,131,1984.592294
369.4845,131,1986.762211
392.591522,136,1988.786449
376.986594,133,1990.879839
513.141671,157,1993.307371
378.228895,133,1995.412014
373.306664,132,1997.751367
391.295367,136,1999.930855
373.526344,132,2002.137526
470.234679,151,2004.465018
507.329995,157,2006.873231
369.872293,131,2008.783871
393.073518,136,2010.925734
394.42575,137,2013.093816
388.071997,135,2015.253303
403.038748,138,2017.423488
395.80542,137,2019.413707
465.257925,150,2021.828465
372.302094,132,2024.063127
529.325465,160,2151.334112
527.285687,160,2153.85594
484.948068,153,2156.26581
538.891642,162,2159.01164
489.033422,154,2161.613051
534.673512,161,2164.30523
534.274207,161,2166.787552
467.506417,150,2168.990459
533.955316,161,2171.389547
515.414275,158,2173.725311
534.937648,161,2176.307529
509.67167,157,2178.519279
453.574682,148,2180.76675
512.032889,157,2183.487286
532.420175,161,2186.047674
448.803958,147,2188.272163
496.86753,155,2190.601479
523.219661,159,2192.8304
479.964716,152,2195.302811
537.422072,162,2197.684592
513.877549,158,2324.81124
514.78463,158,2327.25947
549.392819,167,2329.778208
518.172822,159,2332.144243
516.910293,159,2334.51414
552.791135,167,2336.979802
517.341064,159,2339.475457
528.149777,161,2342.016932
546.252953,165,2344.615072
545.418142,165,2347.016398
554.344194,168,2349.403266
540.216103,164,2351.961209
512.680007,158,2354.309548
504.642702,156,2356.675987
536.829323,163,2359.260692
546.804775,165,2361.819358
507.601575,157,2364.215993
545.791938,165,2367.028088
538.149123,165,2369.5432
514.794299,158,2371.925748
579.731016,173,2493.589003
589.017215,176,2496.126631
577.283095,175,2498.712937
572.265672,171,2501.591283
579.563901,172,2504.111245
581.346946,173,2506.797408
579.526118,174,2509.545989
677.320306,199,2512.720796
600.288505,181,2515.505337
591.017353,175,2518.13824
577.887904,172,2520.617652
593.715925,180,2523.379316
596.041455,180,2526.309985
575.622275,172,2528.763066
582.135983,176,2531.614569
590.286904,179,2534.310486
585.750612,174,2537.042564
582.531939,174,2540.034389
581.684015,173,2542.805522
587.30826,175,2545.377087
592.396339,178,2668.042104
600.473413,177,2671.079797
585.478922,175,2673.965965
601.637848,181,2677.066896
602.439008,181,2679.789861
644.137632,191,2683.091884
621.654772,186,2686.47274
600.257163,177,2689.250516
606.059634,178,2692.18073
609.307937,178,2695.072422
611.451995,178,2697.833325
616.613615,184,2700.99624
584.007875,176,2703.945324
587.773413,175,2706.714511
594.053939,179,2709.272878
585.443816,176,2712.064086
594.48261,176,2714.818913
716.59186,209,2718.143415
610.470319,183,2721.06762
589.169135,176,2723.553165
646.931971,199,2849.661602
630.020226,191,2852.84556
631.814844,193,2855.860557
635.708043,190,2858.792009
642.485723,189,2861.776996
646.899057,199,2864.877016
634.775597,195,2867.68351
686.445645,193,2870.44583
640.945642,190,2873.345879
633.1048,193,2876.042768
629.127662,190,2879.038546
638.30586,188,2882.104603
632.030401,191,2885.479683
635.613884,187,2888.399351
642.039209,190,2891.469602
643.915192,188,2894.668058
638.744824,187,2897.595849
637.676622,195,2900.767145
643.736888,199,2904.004423
672.441708,206,2907.379241
689.686754,215,3029.428817
688.34532,210,3032.274363
681.226802,212,3035.163163
682.159731,212,3038.097366
685.994845,212,3041.064913
688.853698,215,3044.261498
674.060275,207,3047.260426
687.186825,210,3050.275443
690.788748,211,3053.430612
685.84553,210,3056.5236
686.840031,210,3059.558539
689.680469,211,3062.636705
684.217258,213,3065.605228
686.579225,210,3068.555419
683.119129,211,3071.622201
684.92541,211,3074.742179
682.625457,209,3077.718545
679.061904,211,3080.831343
688.101431,211,3083.727727
688.067689,211,3086.588644
935.080802,276,3206.780493
904.828312,255,3210.906057
667.730787,209,3213.991153
916.582672,258,3217.960566
922.07402,276,3221.862754
661.764739,208,3224.872657
663.552792,208,3228.132278
668.418103,209,3231.046501
932.333933,261,3235.141859
659.495591,208,3238.29773
727.912063,223,3241.579262
661.297285,208,3245.070041
684.170626,214,3248.499644
669.532989,209,3251.893246
811.250769,238,3255.591676
668.384939,209,3258.970787
670.808355,210,3262.290285
668.252596,209,3265.482537
665.544913,208,3268.875929
671.821443,210,3272.047755
686.623268,213,3408.03318
664.845151,209,3412.797832
955.437825,284,3417.464201
663.820903,209,3420.904737
856.523048,257,3425.306852
680.128669,211,3428.859712
682.759768,213,3432.844391
673.873361,210,3436.523956
675.53419,210,3440.209305
857.857083,250,3444.692247
675.024808,210,3448.149161
680.457708,212,3451.969512
685.094744,213,3455.862187
917.479347,258,3460.431897
666.209595,209,3464.139787
668.276592,209,3468.166903
667.033078,209,3471.964651
673.129038,210,3475.998775
664.451807,209,3479.784527
690.155132,214,3483.681135
927.912615,274,3624.90205
933.53462,275,3629.642509
954.53516,281,3634.670312
941.952866,263,3639.07359
907.455133,266,3643.548501
916.726941,272,3648.782662
895.87116,259,3653.520722
946.574812,265,3657.993014
922.719378,273,3662.856568
894.724264,260,3666.869015
944.8278,263,3671.09327
921.354802,271,3676.053336
912.862083,257,3680.985341
1035.529888,299,3686.210579
925.57866,274,3691.239534
946.008055,264,3695.379364
899.705968,263,3699.866191
896.964942,261,3704.445655
902.226447,264,3708.641842
922.865626,273,3713.427649
992.805495,290,3852.326389
999.151742,294,3857.517867
1001.550453,294,3862.533282
996.760262,294,3868.277755
910.161861,273,3873.330041
1014.63422,297,3878.820559
1015.724921,298,3883.536057
1035.006361,304,3888.799955
998.206184,293,3894.024888
904.516673,272,3898.678691
1022.153609,300,3903.865981
997.466871,293,3908.572782
999.61531,294,3913.301216
1041.154255,307,3918.491335
900.142173,271,3923.317284
1038.774416,305,3928.577464
1038.212263,305,3933.895177
1000.967288,294,3939.007899
992.108053,293,3944.072703
910.461791,274,3949.214145
910.191323,272,4096.797688
910.131984,268,4100.884285
1006.763045,293,4105.717176
906.342592,257,4110.205693
950.394313,262,4114.749425
909.476801,268,4119.250437
945.871182,261,4123.767657
913.932086,270,4128.475808
922.997213,273,4133.342258
899.731085,260,4138.16752
903.075875,272,4142.491634
914.132703,271,4147.457181
933.571096,259,4152.260256
908.527906,268,4156.774847
904.183225,270,4161.267418
907.355243,266,4165.80643
908.248301,272,4170.323173
902.270338,266,4174.935648
902.68053,271,4179.730951
904.379882,274,4184.615497
904.18816,273,4323.548266
901.224421,270,4328.054267
902.462661,271,4332.742516
904.721743,278,4337.58788
902.765609,269,4342.130385
904.717507,273,4346.716542
898.920488,271,4351.68504
904.937761,275,4356.29933
904.023654,272,4360.620202
907.537286,271,4364.942949
904.376402,276,4369.494899
905.66344,275,4374.091921
908.286043,275,4378.914283
908.821738,277,4383.710055
903.783596,273,4388.271448
902.320424,277,4393.318524
901.236278,276,4398.381347
906.630468,270,4402.910573
905.841971,275,4407.466335
905.330429,275,4411.87326
804.109796,237,4549.813654
867.540471,249,4553.884455
963.137714,280,4558.587835
809.560931,238,4562.710294
955.043541,270,4567.093525
1023.075071,297,4572.101419
932.98698,260,4578.95577
786.8576,234,4584.757324
884.896928,252,4590.080241
951.263134,271,4594.873887
956.037408,274,4599.366717
728.679334,222,4602.670376
703.594005,216,4606.308092
883.715515,252,4610.148921
1018.708557,296,4614.94136
947.827677,270,4619.60414
824.736522,241,4623.461287
716.441974,219,4627.002747
952.211587,274,4631.462421
693.029219,214,4634.975392
841.126047,244,4773.388204
834.727309,243,4777.535379
926.160703,265,4782.188835
925.963819,259,4786.347051
1004.688662,282,4791.326665
926.096718,265,4796.302217
999.124309,273,4801.003644
836.297534,243,4804.954498
956.814512,264,4809.823325
957.492448,264,4814.565378
976.903021,277,4819.390277
845.666121,245,4823.434959
849.923141,246,4827.760917
1001.62663,289,4832.649517
1011.461409,287,4837.731021
1011.411541,283,4843.038569
801.629254,237,4847.387789
831.392777,242,4851.369884
942.517707,262,4856.258102
958.819294,265,4861.136421
941.910536,267,5005.504392
1021.408886,297,5011.148348
1010.487452,296,5016.415507
938.600996,267,5021.234932
934.188367,266,5025.875443
935.770527,265,5030.614897
999.07593,273,5035.917374
935.516415,271,5040.608755
933.592695,268,5045.74172
937.889087,267,5050.298735
1023.105425,299,5055.692108
941.76817,266,5060.533325
998.903319,272,5065.308519
940.756526,272,5070.464485
935.923129,278,5075.96201
939.840308,274,5080.60004
1025.440232,297,5085.85546
937.252461,272,5090.783074
991.308942,284,5096.41674
946.774062,275,5101.614532
