#{"t_start": 1657269983.840877, "env_id": "HalfCheetah-v2"}
return,length,time
-682.845888,1000,95.128354
-636.70479,1000,110.393614
-608.241229,1000,116.159715
-692.580398,1000,122.298781
-646.165298,1000,128.437801
-606.099678,1000,208.727988
-568.720496,1000,214.607259
-661.586388,1000,223.94242
-611.00697,1000,231.850807
-503.801435,1000,238.256682
-672.149322,1000,313.621976
-737.559866,1000,319.260978
-724.305036,1000,325.135611
-587.852356,1000,331.146035
-650.773924,1000,337.110834
-759.214405,1000,410.480231
-710.711964,1000,416.301955
-718.968106,1000,422.658499
-634.572193,1000,428.485804
-719.098431,1000,434.692106
-593.950735,1000,507.439147
-709.061512,1000,513.917674
-690.679131,1000,520.702125
-750.002984,1000,527.321822
-711.269992,1000,533.264829
-649.947032,1000,606.551679
-899.266452,1000,612.517334
-804.541673,1000,618.619887
-789.531213,1000,624.178103
-764.236417,1000,630.038836
-711.556563,1000,702.763592
-768.524322,1000,708.532083
-789.615857,1000,714.306651
-741.800985,1000,720.144972
-817.711795,1000,726.111073
-721.576504,1000,799.986403
-892.198591,1000,805.609282
-715.972004,1000,811.371196
-786.728126,1000,817.360507
-819.45937,1000,823.907235
-902.856651,1000,905.326412
-770.62935,1000,910.993958
-818.287408,1000,916.932732
-765.286145,1000,922.807296
-826.895283,1000,928.482208
-750.348086,1000,1002.798638
-894.591856,1000,1008.847983
-964.861957,1000,1014.375041
-853.686873,1000,1020.355677
-883.237349,1000,1026.550311
-1006.927509,1000,1126.857459
-832.859351,1000,1140.858814
-878.32675,1000,1154.960604
-955.630936,1000,1168.480642
-1119.287122,1000,1181.472087
-841.751033,1000,1352.047294
-855.814544,1000,1370.292279
-885.819538,1000,1389.843733
-891.588505,1000,1406.323189
-959.346453,1000,1423.99252
-899.678988,1000,1737.279917
-957.435605,1000,1761.072227
-1226.624243,1000,1784.919086
-910.997362,1000,1807.281693
-916.997151,1000,1831.239479
-818.378873,1000,2136.631634
-900.656977,1000,2159.063533
-1145.982275,1000,2181.810731
-1072.889583,1000,2204.123991
-1000.856374,1000,2226.961139
-941.834046,1000,2510.287772
-915.75137,1000,2531.936853
-1193.975979,1000,2553.557853
-849.506291,1000,2574.6221
-913.188323,1000,2596.261673
-1030.072517,1000,2878.810731
-1047.162439,1000,2899.58482
-790.765704,1000,2920.046218
-990.253752,1000,2940.708633
-967.581456,1000,2961.176916
-1042.15157,1000,3229.51283
-1003.077516,1000,3250.859704
-963.149078,1000,3270.671684
-1198.198271,1000,3290.917942
-888.007037,1000,3311.490617
-1156.45132,1000,3573.273499
-1126.221503,1000,3592.960579
-946.862896,1000,3612.747951
-1075.345987,1000,3632.280947
-1124.499146,1000,3652.197285
-1236.227058,1000,3911.71804
-1186.527055,1000,3932.515895
-1024.997954,1000,3958.740729
-1046.207442,1000,3978.287345
-1102.591607,1000,3998.525572
-1089.035651,1000,4255.303661
-1060.441221,1000,4273.959341
-951.072416,1000,4292.956191
-1192.892807,1000,4312.270973
-828.774211,1000,4333.026864
-1216.21437,1000,4618.73413
-1042.287497,1000,4641.300009
-989.492271,1000,4664.835968
-938.986284,1000,4686.644953
-1058.879757,1000,4709.457661
-1135.165635,1000,5011.434887
-1099.993742,1000,5033.661597
-943.301024,1000,5055.533698
-1091.543648,1000,5077.591207
-1023.055161,1000,5101.402458
-1156.107205,1000,5407.066837
-1079.66596,1000,5429.17543
-993.886615,1000,5450.927084
-981.118179,1000,5473.019582
-1000.305836,1000,5495.169518
-1011.153356,1000,5793.054869
-936.907646,1000,5815.413882
-982.771661,1000,5837.875552
-918.812686,1000,5860.269142
-794.928323,1000,5882.322317
-907.43982,1000,6186.984972
-1039.552269,1000,6211.5159
-943.859667,1000,6235.613795
-998.943386,1000,6259.783026
-798.256721,1000,6282.955529
