#{"t_start": 1657271093.8408883, "env_id": "Walker2d-v2"}
return,length,time
85.402935,103,61.918849
84.508879,103,63.12373
83.844324,101,64.372825
85.276155,105,65.672141
87.03898,104,66.881172
107.049036,121,68.250387
289.026316,266,71.352569
118.950609,231,74.217058
111.721082,125,75.787911
81.239267,98,76.847086
95.479361,116,78.145961
245.203546,229,80.758251
88.622953,107,82.040269
281.294235,258,84.957401
206.323677,223,87.571687
110.567502,127,89.022838
93.856757,110,90.296452
178.216058,172,92.375364
83.08836,105,93.60159
98.720535,114,95.058873
0.780642,27,217.231482
0.567909,26,217.495996
0.707713,27,217.77218
0.938373,27,218.070149
0.156946,26,218.379112
0.308779,26,218.690523
0.215098,26,219.067813
0.974035,27,219.46424
0.590739,27,219.806746
0.281499,26,220.136774
0.242347,26,220.468679
0.258778,26,220.771321
0.440684,26,221.090291
0.064776,26,221.447448
0.210818,26,221.752739
0.154648,26,222.091164
0.882836,27,222.511667
0.215039,26,222.767519
-0.091957,26,223.019562
0.601793,26,223.386568
-0.214836,25,344.665425
-0.156835,25,345.099854
-0.491408,24,345.606786
-1.0113,24,346.058795
-0.432459,25,346.539078
-0.830152,24,347.005884
-0.421303,25,347.544392
-0.894439,24,348.055061
-0.895575,24,348.536433
0.003544,25,349.089973
-0.815692,24,349.550425
-0.977856,24,350.002228
-1.060613,24,350.508168
-1.027159,24,350.973251
-0.730936,24,351.478447
-0.784665,24,352.049845
-0.129525,25,352.612961
-0.797498,24,353.089744
-0.750451,24,353.56381
-0.271712,25,354.153885
-6.178518,55,511.275254
-6.448011,55,512.387043
-6.799467,52,513.673162
-5.083427,54,514.950711
-7.055695,52,516.081873
-5.724855,53,517.138627
-6.69765,51,518.155013
-5.719651,54,519.117697
-6.567987,55,520.078525
-6.784009,49,520.972725
-6.033462,54,522.051758
-7.345831,54,523.403901
-6.486117,54,524.612367
-5.596907,53,525.765141
-6.65388,54,526.946695
-5.970376,54,528.052108
-6.839531,54,529.099231
-6.155594,53,529.915353
-5.462526,55,530.88785
-6.764834,50,532.010517
-4.667478,49,685.146198
-3.814151,45,686.033735
-3.087134,45,687.038729
-4.622564,47,688.102161
-3.994028,45,689.028011
-4.430796,44,689.886917
-4.501245,45,690.650924
-4.280978,45,691.591821
-3.408739,45,692.500862
-3.640108,46,693.390794
-4.44225,49,694.255997
-4.700347,48,695.117832
-3.88038,45,695.915731
-4.660603,45,696.787971
-4.350262,45,697.591345
-3.633782,45,698.433779
-3.782387,45,699.292121
-4.91543,49,700.25265
-4.66722,45,701.081294
-4.161504,45,701.949827
-4.255664,47,849.876706
-3.987975,47,850.828804
-4.375756,47,851.64844
-4.067089,46,852.498176
-3.952506,47,853.390494
-4.229938,47,854.232253
-4.194664,47,855.114369
-4.027701,46,855.928707
-4.420883,46,856.835283
-4.335854,47,857.816943
-3.61715,46,858.815015
-4.026142,46,859.854089
-3.953205,46,860.737612
-4.341563,47,861.53469
-4.24712,46,862.462729
-3.981907,47,863.37606
-4.21171,46,864.210829
-4.410838,47,865.197587
-3.820732,46,866.14194
-4.12456,47,867.007977
-6.434704,41,1010.837927
-5.956438,44,1012.208658
-4.77422,43,1013.523609
-5.809811,43,1015.023015
-4.427637,44,1016.472047
-4.648639,45,1018.06325
-5.17293,43,1019.358092
-5.268732,45,1020.910533
-5.183889,45,1022.177595
-5.573761,45,1023.628651
-4.818115,42,1025.108245
-4.414033,44,1026.403624
-5.990548,42,1027.140821
-4.820287,43,1027.962807
-4.170934,43,1028.907403
-4.82638,43,1029.65966
-4.712092,45,1030.626803
-5.020927,43,1031.447889
-4.846528,44,1032.455201
-4.606562,44,1033.390827
-0.502885,76,1177.748725
3.093095,78,1179.246835
1.981543,75,1180.515283
3.979817,75,1181.679473
-2.793464,75,1182.978293
-2.210962,75,1184.143265
1.158255,75,1185.407838
2.980327,77,1186.601754
-0.347079,70,1187.781141
3.398388,75,1189.151438
0.814319,78,1190.769776
2.428664,74,1192.070341
1.33193,77,1193.497265
-1.818147,75,1194.873167
0.272846,76,1196.16038
2.133609,77,1197.548001
3.872121,78,1198.832083
-1.878644,76,1200.084223
-0.890413,77,1201.395955
-0.554837,77,1203.026665
-1.937735,117,1345.290226
20.503383,89,1346.858378
19.513715,88,1348.514497
19.473593,88,1350.375849
0.342223,127,1352.86352
20.000548,87,1354.389289
19.912229,88,1355.888407
16.491186,138,1358.294782
20.063518,88,1359.784018
1.80972,122,1362.211378
17.189701,141,1364.858787
5.194602,135,1367.261274
2.055942,124,1369.484347
21.266135,87,1370.963232
-1.463074,119,1372.931036
21.101216,88,1374.513241
19.51509,88,1376.33258
-1.624163,124,1378.725501
15.009076,138,1381.422895
0.512396,121,1383.643928
256.091608,150,1522.550857
196.943755,113,1524.677866
202.401017,117,1526.942776
199.75756,115,1529.22419
204.076198,118,1531.416399
198.787764,114,1533.232033
199.531987,115,1535.175549
205.407019,118,1537.291696
201.2531,115,1539.420574
230.576843,134,1541.885867
189.861054,110,1543.886166
241.093453,139,1546.339971
237.558184,137,1548.862096
230.167317,133,1551.319353
200.598244,115,1553.367522
191.83492,110,1555.251382
183.815908,107,1557.125423
243.788241,140,1559.739706
200.989258,116,1561.822532
209.515839,120,1564.049096
312.376136,216,1709.975514
304.633658,209,1713.788965
335.185181,238,1718.017861
288.65021,193,1721.495626
279.423462,186,1724.879031
273.4026,179,1728.050758
290.989114,195,1731.779081
310.068321,213,1735.601464
337.87645,239,1739.559059
283.328626,187,1742.815313
303.701885,206,1746.557039
279.915162,184,1749.631182
312.538321,213,1753.217262
286.268468,191,1756.531682
298.822098,202,1760.215746
286.591738,191,1763.45265
283.54784,189,1766.605294
280.842118,185,1769.970721
320.988052,224,1774.156097
323.366773,226,1778.104314
306.649659,213,1913.561182
980.059288,1000,1931.992703
392.136741,297,1937.323592
822.833838,727,1950.070888
991.971422,1000,1968.01846
290.514523,197,1971.607739
986.528558,1000,1989.317551
983.074969,1000,2007.764943
302.617779,210,2011.432993
281.793082,189,2014.636916
306.537615,210,2018.354792
981.922902,1000,2036.573558
982.090472,1000,2054.931481
298.469355,205,2058.227624
552.072831,457,2066.376004
