#{"t_start": 1657271396.116708, "env_id": "Walker2d-v2"}
return,length,time
-1.79018,20,181.90518
-7.348799,17,182.308742
0.615239,19,182.744373
-5.401395,9,182.964512
-10.384212,16,183.352659
-4.463104,27,183.977956
-1.622929,17,184.36294
-7.503793,19,184.856178
-2.553885,24,185.46954
-0.484072,15,185.830513
-3.735044,17,186.243049
3.20773,14,186.607132
-6.058288,23,187.116698
1.261944,11,187.442332
3.468114,14,187.849038
9.259717,51,189.181919
-2.192242,13,189.542032
0.327427,11,189.826087
-2.168816,24,190.43067
5.495476,17,190.916123
-3.369337,17,191.350856
5.703663,35,192.281437
-0.989268,16,192.652416
-0.419204,12,192.926542
0.666306,10,193.137739
-0.320345,13,193.426177
5.752122,28,194.074991
1.53963,18,194.487596
-5.198308,10,194.688548
-4.648682,21,195.124969
1.902954,19,195.567378
-1.34666,26,196.138947
2.089271,28,196.706983
-5.089076,23,197.228078
-2.347344,12,197.478889
3.858085,30,198.194027
-0.371309,19,198.656983
4.934277,30,199.354975
-5.037581,21,199.879088
4.697253,20,200.404907
-0.831305,12,200.753394
-7.12502,10,200.945512
1.382877,18,201.383354
2.572151,25,201.994478
-3.152098,10,202.193839
1.35443,12,202.483169
2.363604,12,202.742014
4.270819,31,203.386262
-0.233782,18,203.775537
-1.434256,18,204.244822
4.246927,38,205.103865
5.47438,17,249.107543
13.456871,30,249.834794
-2.220752,12,250.11596
-2.247132,23,250.703941
-1.133062,11,250.978827
-3.709351,16,251.427329
-5.776896,18,251.876925
-9.908466,17,252.299517
-0.066621,20,252.771687
2.596437,14,253.076154
-6.090945,20,253.537611
5.79579,24,254.093283
2.488714,14,254.405268
-5.364633,19,254.80044
0.942556,10,255.038562
6.741602,20,255.442204
-1.959583,21,255.902869
-4.724934,25,256.379762
-5.472292,14,256.61798
-3.098652,17,256.940965
-4.447516,30,257.510715
-5.518482,11,257.727988
2.89597,25,258.275606
-5.063867,12,258.604306
-0.898527,26,259.237636
-2.247294,17,259.666823
-9.144405,23,260.249848
-3.67622,14,260.638139
7.892664,35,261.516945
5.281918,17,262.003346
1.238507,18,262.598176
-3.161469,14,262.993035
5.830357,23,263.532266
-6.246485,9,263.789285
-4.752936,13,264.090123
0.530867,15,264.392498
5.867698,21,264.863368
-1.474331,9,265.089955
10.78904,20,265.515385
-0.174406,23,266.030457
9.825042,34,266.764779
-3.968572,9,266.949117
-9.320887,13,267.217329
-3.761693,19,267.624909
-4.712783,13,267.921241
-5.465536,20,268.369272
-9.828261,19,268.803408
-1.026202,27,269.371734
-6.875104,15,269.664968
3.591703,15,269.995354
-7.54667,12,270.257913
1.529953,11,270.488171
-7.116082,20,270.944123
2.422535,23,271.375026
5.849235,21,271.841004
