#{"t_start": 1651376777.595066, "env_id": "Hopper-v2"}
return,length,time
11.38415,14,58.57941
11.14578,26,58.792141
9.186345,11,58.878562
9.420608,11,58.972976
64.098551,50,59.353384
6.307591,9,59.436776
5.29188,16,59.575457
29.782632,35,59.868172
10.915245,13,59.980766
14.060334,24,60.177101
15.841897,19,60.328674
6.864145,9,60.400212
8.571803,21,60.575291
6.994064,9,60.641967
70.11753,46,61.058158
13.619348,24,61.266078
5.656552,11,61.342514
9.863246,15,61.450357
12.775492,38,61.794988
9.722654,17,61.931149
5.064584,11,62.043645
20.073032,20,62.225368
99.866277,60,62.743215
6.158058,8,62.811708
21.845013,19,62.969961
8.664914,12,63.099912
18.984403,20,63.262835
13.853608,16,63.386032
5.141346,23,63.567736
21.027624,38,63.876999
9.552048,16,64.008427
19.772231,20,64.200316
11.003637,36,64.482671
7.722736,29,64.682713
15.875691,29,64.925771
7.981137,15,65.050353
14.625208,20,65.221983
8.086245,10,65.289046
24.378089,20,65.44799
10.020661,14,65.567967
7.87935,14,65.698404
16.595392,15,65.842573
9.484113,11,65.937304
25.361701,23,66.112798
12.978973,16,66.263057
28.074191,26,66.485934
33.191948,29,66.743866
34.079051,32,80.967572
12.302453,13,81.07979
9.161279,25,81.282113
15.475511,16,81.428082
5.280482,8,81.493057
14.336921,15,81.629305
10.639541,12,81.716333
13.516046,21,81.859627
9.226266,15,81.983073
11.202159,14,82.098592
8.35417,15,82.233708
16.962038,29,82.519277
4.929675,9,82.610386
14.712639,22,82.795662
4.466488,28,83.009857
7.354469,12,83.117739
10.510619,13,83.225189
10.4097,14,83.328012
15.551569,22,83.487926
7.031404,22,83.665033
16.565095,20,83.844934
57.533932,55,84.265491
36.501546,41,84.58689
42.913358,33,84.873041
7.216898,10,84.96535
9.066988,16,85.11768
6.900961,9,85.200746
20.033661,24,85.410837
10.208136,19,85.559737
13.382545,22,85.763324
15.550522,37,86.029857
7.861322,18,86.181435
11.71079,12,86.298047
14.433301,14,86.409148
