raw/gen/rollout/ep_rew_mean,raw/gen/time/iterations,raw/gen/time/fps,raw/gen/time/time_elapsed,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/train/entropy_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/learning_rate,raw/gen/train/loss,raw/gen/train/value_loss,raw/gen/train/clip_range,raw/gen/train/approx_kl,raw/gen/train/explained_variance,raw/gen/train/n_updates
-165.171318,1,412,4,1000.0,2048,,,,,,,,,,,,
-148.21986725,1,410,4,1000.0,4096,-8.507024851441383,1047.1224918961525,0.110400390625,-0.01940326445037499,0.9979888200759888,0.0003,19.094676971435547,157.6332151889801,0.2,0.010930784,-0.22334504127502441,10
-54.93037416666666,1,430,4,1000.0,6144,-8.49665270447731,918.8586332798004,0.130712890625,-0.01904581120761577,0.9968995451927185,0.0003,5.953772068023682,53.754848232865335,0.2,0.01199538,0.02281928062438965,20
-101.050415375,1,446,4,1000.0,8192,-8.458721432089806,861.185266683499,0.165869140625,-0.027926107906387186,0.9850372672080994,0.0003,6.556192874908447,28.598893110454082,0.2,0.018822543,0.04528939723968506,30
-96.0168091,1,441,4,1000.0,10240,-8.420417073369027,816.7335226088762,0.12919921875,-0.020655904708837623,0.9831832647323608,0.0003,12.125140190124512,23.228202793747187,0.2,0.020794127,-0.006781220436096191,40
-109.15889958333332,1,429,4,1000.0,12288,-8.413951948285103,782.5922736316919,0.14296875,-0.01577494039956946,0.9861251711845398,0.0003,3.218538999557495,17.219629216194154,0.2,0.018088019,-0.004753708839416504,50
-133.2502027142857,1,444,4,1000.0,14336,-8.429374524950981,755.8736899644136,0.096923828125,-0.01233694036345696,0.9853886365890503,0.0003,2.2607078552246094,17.629307878017425,0.2,0.011777723,-0.1810758113861084,60
-121.98510099999999,1,437,4,1000.0,16384,-8.410449299216271,731.2862434770379,0.208740234375,-0.02577684727148153,0.9789380431175232,0.0003,1.2463083267211914,15.83559527285397,0.2,0.017237637,-0.027332305908203125,70
-96.4806347222222,1,422,4,1000.0,18432,-8.386274683475495,707.8231722135097,0.2060546875,-0.026503986807074397,0.9795011281967163,0.0003,3.8754801750183105,16.30198670756072,0.2,0.019727364,-0.02511751651763916,80
-89.01022889999999,1,412,4,1000.0,20480,-8.380522832274437,685.694885879755,0.182177734375,-0.026268676409381443,0.9757620096206665,0.0003,1.1555858850479126,16.589785164408386,0.2,0.014978744,-0.016192317008972168,90
-103.29811222727271,1,408,5,1000.0,22528,-8.378963765501975,665.0480425998569,0.173486328125,-0.022115128373843617,0.977871835231781,0.0003,12.046695709228516,16.232597422972322,0.2,0.012629999,-0.008346319198608398,100
-93.26195883333332,1,428,4,1000.0,24576,-8.39170916378498,642.267966395752,0.171630859375,-0.023931036068825053,0.9797897338867188,0.0003,9.365218162536621,15.949088411405683,0.2,0.0149536,-6.973743438720703e-05,110
-106.8904463076923,1,438,4,1000.0,26624,-8.374765813350677,621.4216647427529,0.18125,-0.025796787408762612,0.9741407632827759,0.0003,3.8078019618988037,15.013484570384026,0.2,0.013208423,-0.00022304058074951172,120
-136.14846807142857,1,447,4,1000.0,28672,-8.362943920493127,600.0033859745241,0.1380859375,-0.024793100569513626,0.9765973091125488,0.0003,6.729498863220215,14.754089131578803,0.2,0.014435956,-0.00019800662994384766,130
-145.23515623333333,1,439,4,1000.0,30720,-8.373987981677056,578.9005643406084,0.165234375,-0.024191389833868017,0.9787120223045349,0.0003,0.889988362789154,14.700233574584127,0.2,0.015580293,-0.000567317008972168,140
-157.2432344375,1,448,4,1000.0,32768,-8.368277767300606,558.1692963810017,0.12060546875,-0.020449891180032865,0.972709059715271,0.0003,18.322023391723633,11.720577656663954,0.2,0.013310473,-0.007693290710449219,150
-160.27708832352943,1,435,4,1000.0,34816,-8.33507231771946,538.9784697451396,0.168798828125,-0.024776445911993506,0.9684680700302124,0.0003,3.560960292816162,10.965669181942939,0.2,0.018664956,-0.49563872814178467,160
-143.15690075000003,1,426,4,1000.0,36864,-8.31733994781971,522.2511195872418,0.16416015625,-0.029589156500878743,0.9671289920806885,0.0003,1.8271187543869019,10.421078401803971,0.2,0.01399474,-0.06805884838104248,170
-151.9715313421053,1,413,4,1000.0,38912,-8.289873465895653,506.2702662852696,0.16396484375,-0.02956884720479138,0.9604279398918152,0.0003,3.7635536193847656,10.165675446018577,0.2,0.015797324,-0.008527398109436035,180
-172.23869137499997,1,417,4,1000.0,40960,-8.250806495547295,490.745075133188,0.14228515625,-0.026037604562588967,0.9550459384918213,0.0003,1.4724748134613037,8.833249963074923,0.2,0.012897652,-0.001220703125,190
-193.19662267441862,1,422,4,1000.0,43008,-8.232682967185974,477.45737617877313,0.171826171875,-0.03249145422887523,0.9566990733146667,0.0003,4.089082717895508,10.166625173389912,0.2,0.015883047,-0.002225160598754883,200
-204.10702744444444,1,442,4,1000.0,45056,-8.236317005753516,462.24331511788847,0.196923828125,-0.03729349058412481,0.9555837512016296,0.0003,8.930350303649902,15.104932233691216,0.2,0.017475573,-0.0004106760025024414,210
-215.14104125531918,1,447,4,1000.0,47104,-8.229077169299126,453.7157384150351,0.21513671875,-0.03591127929830691,0.9519924521446228,0.0003,5.0648064613342285,9.351442106068134,0.2,0.019108322,-0.00026476383209228516,220
-216.97795685714286,1,447,4,1000.0,49152,-8.216050535440445,444.17251599963475,0.190380859375,-0.03519250121025834,0.9517447352409363,0.0003,3.008249521255493,9.450378353893758,0.2,0.01572849,-0.0001316070556640625,230
-223.35628782352939,1,442,4,1000.0,51200,-8.18683964908123,437.06064743521546,0.2244140625,-0.037523544239229524,0.9456418752670288,0.0003,1.7098898887634277,7.638784033060074,0.2,0.019378155,-2.5033950805664062e-06,240
-226.83240850943395,1,433,4,1000.0,53248,-8.151767963171006,428.99644001202165,0.203759765625,-0.03401953975262586,0.9406561255455017,0.0003,1.906757116317749,7.389619040861726,0.2,0.015758984,9.834766387939453e-06,250
