raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/rollout/ep_len_mean,raw/gen/train/actor_loss,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/critic_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/rollout/ep_rew_mean,raw/gen/time/episodes,raw/gen/time/total_timesteps
0.001,3000,1000.0,-15.495317217826843,1,766,0.40445495369844137,627.7271540860335,-25.040156999999994,4,4000
0.001,7000,1000.0,-23.04566223335266,1,768,0.5440634508822113,628.1428124351161,-23.842000125,8,8000
0.001,11000,1000.0,-30.10215792274475,1,766,0.9081807608650997,593.8658654500138,-22.151284,12,12000
0.001,15000,1000.0,-34.537968257904055,1,770,1.3129157094135882,540.7616822858652,-21.968230749999996,16,16000
0.001,19000,1000.0,-37.57744900131225,1,762,1.752756251938641,475.29199754211464,-21.560388749999998,20,20000
0.001,23000,1000.0,-38.14694874954223,1,759,1.6300844185762107,411.5647097572522,-21.2585645,24,24000
0.001,27000,1000.0,-37.026232624053954,1,768,1.6473943479321898,357.8931576299343,-21.290374464285712,28,28000
0.001,31000,1000.0,-35.36289981460571,1,766,1.3928269349187612,315.03726197855036,-21.459508468750002,32,32000
0.001,35000,1000.0,-33.16842332267761,1,768,1.1771426616758107,280.84588542388354,-21.61328002777778,36,36000
0.001,39000,1000.0,-30.923343530654908,1,766,1.0116564473807812,253.18024092165376,-21.693855300000003,40,40000
0.001,43000,1000.0,-28.80609637069702,1,757,1.0032677058279513,230.3918149121773,-21.77736465909091,44,44000
0.001,47000,1000.0,-26.678478393554688,1,767,0.7500389378741383,211.32548864144508,-21.689002520833338,48,48000
0.001,51000,1000.0,-24.75076284790039,1,768,0.5540809426680208,195.15716417346096,-21.874838326923076,52,52000
0.001,55000,1000.0,-22.895090003967287,1,761,0.6609850816726685,181.26983085753508,-21.948498482142856,56,56000
0.001,59000,1000.0,-21.100665313720704,1,760,0.5277564272768795,169.21961731581936,-22.092172633333334,60,60000
0.001,63000,1000.0,-19.760512954711913,1,768,0.4344031790997833,158.66609768869134,-22.11002071875,64,64000
0.001,67000,1000.0,-18.426251485824586,1,748,0.4518061974532902,149.34715431067335,-22.01261023529412,68,68000
0.001,71000,1000.0,-17.211046659469606,1,764,0.4276788256261498,141.0604572745678,-22.048536624999997,72,72000
0.001,75000,1000.0,-16.069852533340455,1,765,0.3390160544794053,133.64182942711665,-22.026687763157895,76,76000
0.001,79000,1000.0,-14.945981120109558,1,739,0.3665114417625591,126.96377629782346,-21.945980062500002,80,80000
0.001,83000,1000.0,-13.888128811836243,1,757,0.29895895866677163,120.9206736697414,-22.043900964285715,84,84000
0.001,87000,1000.0,-13.035134965896606,1,768,0.26469945813436063,115.4256378467312,-22.083184818181817,88,88000
0.001,91000,1000.0,-12.28925523376465,1,760,0.32928546227142214,110.4084090702809,-22.09626548913043,92,92000
0.001,95000,1000.0,-11.516537275314331,1,768,0.4076474957522005,105.80847829002342,-22.000479624999997,96,96000
0.001,99000,1000.0,-11.113410885810852,1,766,0.44227597100660204,101.57645458523194,-21.992982589999997,100,100000
0.001,103000,1000.0,-10.805580741882324,1,759,0.16599104843754323,81.76777427179374,-21.853067959999994,104,104000
0.001,107000,1000.0,-10.3519492893219,1,759,0.5145790582606569,56.66555854507128,-21.82877594,108,108000
0.001,111000,1000.0,-9.828515196800232,1,768,0.9467591888504103,35.343655375243905,-21.94290572,112,112000
0.001,115000,1000.0,-9.434369462966918,1,759,0.15766450617183,19.58544682690055,-21.924453339999996,116,116000
0.001,119000,1000.0,-9.137776099205016,1,758,1.3201882741851731,10.422891872825211,-21.896876419999998,120,120000
0.001,123000,1000.0,-9.010488281726838,1,758,1.2819554916843772,6.09497520284147,-22.0685963,124,124000
0.001,127000,1000.0,-9.136137176513673,1,758,4.573781553061679,4.148710018890529,-22.073528059999997,128,128000
0.001,131000,1000.0,-10.354177592277527,1,758,8.963684380457737,3.1417608138875037,-22.020290409999998,132,132000
0.001,135000,1000.0,-12.134764915943146,1,767,13.304570217515343,2.5288123664684643,-21.94801213,136,136000
0.001,139000,1000.0,-12.863927030563355,1,761,1.2692436775853857,2.105230924101861,-21.943031839999993,140,140000
0.001,143000,1000.0,-14.700071377277375,1,700,57.86298198923468,1.7963308592792555,-21.905562489999998,144,144000
