#{"t_start": 1640213110.71696, "env_id": "Walker2d-v2"}
return,length,time
-1.79018,20,15.82052
-7.348799,17,15.91321
0.615239,19,16.016642
-5.401395,9,16.081189
-10.384212,16,16.12423
-4.463104,27,16.222839
-1.622929,17,16.263307
-7.503793,19,16.368868
-2.553885,24,16.547067
-0.484072,15,16.720485
-3.735044,17,16.898654
3.20773,14,16.961813
-6.058288,23,17.134419
1.261944,11,17.212411
3.468114,14,17.245639
9.259717,51,17.446146
-2.192242,13,17.486213
0.327427,11,17.496439
-2.168816,24,17.567999
5.495476,17,17.66059
-3.369337,17,17.709178
5.703663,35,17.782919
-0.989268,16,17.840707
-0.419204,12,17.875684
0.666306,10,17.912248
-0.320345,13,17.946358
5.752122,28,18.027918
1.53963,18,18.102146
-5.198308,10,18.1553
-4.648682,21,18.272653
1.902954,19,18.333447
-1.34666,26,18.442815
2.089271,28,18.553109
-5.089076,23,18.6582
-2.347344,12,18.696451
3.858085,30,18.902463
-0.371309,19,19.04145
4.934277,30,19.21556
-5.037581,21,19.338987
4.697253,20,19.440331
-0.831305,12,19.512527
-7.12502,10,19.57111
1.382877,18,19.71326
2.572151,25,19.768853
-3.152098,10,19.782842
1.35443,12,19.797959
2.363604,12,19.824608
4.270819,31,19.942811
-0.233782,18,20.010304
-1.434256,18,20.104956
4.246927,38,20.182895
5.47438,17,28.352823
13.456859,30,28.475496
-2.22075,12,28.523003
-2.247131,23,28.602167
-1.133061,11,28.630405
-3.709348,16,28.669362
-5.776902,18,28.709936
-9.908466,17,28.762013
-0.066621,20,28.83379
2.596438,14,28.869773
-6.090944,20,28.956392
5.795789,24,29.116384
2.488716,14,29.172301
-5.364632,19,29.281024
0.942558,10,29.311999
6.741607,20,29.378335
-1.959584,21,29.50079
-4.724938,25,29.640512
-5.472294,14,29.688223
-3.098652,17,29.770769
-4.447517,30,29.873808
-5.51848,11,29.934718
2.895968,25,30.02482
-5.063868,12,30.080353
-0.898533,26,30.220798
-2.247289,17,30.285177
-9.144408,23,30.369231
-3.676219,14,30.426746
7.892664,35,30.654579
5.28192,17,30.735054
1.238511,18,30.81644
-3.161464,14,30.937258
5.830358,23,31.036472
-6.246484,9,31.068223
-4.752933,13,31.140327
0.530867,15,31.257484
5.867701,21,31.324808
-1.474331,9,31.368228
10.789043,20,31.473623
-0.174402,23,31.557344
9.825062,34,31.79395
-3.968571,9,31.833074
-9.320887,13,31.898565
-3.761692,19,32.021866
-4.712783,13,32.098347
-5.465538,20,32.270556
-9.828262,19,32.399302
-1.026202,27,32.563762
-6.875101,15,32.709982
3.591704,15,32.840049
-7.546669,12,32.892682
1.529954,11,32.92185
-7.116083,20,33.060645
2.422534,23,33.288771
5.849232,21,33.385813
-5.231702,23,36.407668
0.623991,11,36.518867
-7.438685,22,36.674105
-7.405286,15,36.764722
-0.74034,17,36.876469
-1.240555,12,36.956102
0.204129,10,37.02248
-8.486634,14,37.100922
-4.207644,13,37.188253
-7.330116,22,37.28159
4.825687,19,37.401137
-2.7351,20,37.524948
-12.50723,16,37.644276
-10.41651,26,37.720199
0.185593,29,37.823439
-0.872273,19,37.898371
-10.410506,18,37.980273
-6.686147,21,38.06071
-2.174134,7,38.085062
-4.545323,24,38.196245
0.221626,16,38.244875
-3.938088,10,38.282966
-0.57213,21,38.405358
5.36619,18,38.484421
-4.091744,13,38.56892
-2.195448,17,38.676281
-6.055747,15,38.757041
1.000287,11,38.800243
-10.108176,28,38.897423
17.477887,36,39.104247
-2.428738,9,39.149706
-4.611107,9,39.216805
-2.023202,28,39.364945
-0.477667,13,39.432429
-0.711689,33,39.67405
-9.392799,17,39.77389
8.289276,27,39.86174
11.889861,25,40.078515
-1.822095,14,40.160465
-4.579776,25,40.320255
-6.878565,18,40.408371
-1.997702,21,40.502003
-2.283228,17,40.576822
-4.487835,11,40.623363
0.681139,16,40.68922
-9.676808,16,40.760737
-0.235427,12,40.853359
-1.149941,10,40.904466
2.242163,21,41.000647
-6.765924,19,41.099596
-6.580776,16,41.185235
-4.373455,31,41.346546
-6.099685,24,41.444303
-4.409134,19,41.53873
-4.028823,12,42.6837
-3.383958,16,42.770343
6.407118,27,42.940439
-7.974705,17,43.036674
-2.640683,13,43.11302
-0.455849,15,43.212516
-0.056711,11,43.258728
-2.513947,16,43.360458
-0.846863,10,43.431065
3.192599,22,43.65701
-12.682281,15,43.769419
-1.690558,14,43.892846
-3.552797,13,43.931932
-5.51306,19,44.024806
-5.666346,17,44.211935
-1.189368,23,44.472666
-10.349313,22,44.67642
-6.166102,23,44.782991
-6.626913,17,44.872316
-1.027604,11,44.924289
-6.561286,9,44.968344
-1.609861,10,45.023022
11.69698,30,45.155279
4.168425,24,45.37254
-12.8377,21,45.504627
3.342622,13,45.573294
-6.028815,16,45.654488
-1.189849,23,45.759177
3.604405,16,45.848388
4.347078,14,45.920236
-0.601581,20,46.000693
-4.209275,29,46.181351
-1.199928,9,46.230966
-8.110383,14,46.289168
-3.149549,12,46.362163
-5.800135,11,46.42569
-13.429098,15,46.516445
-2.473726,21,46.638788
-2.440481,14,46.68257
-10.209013,18,46.711692
-6.806311,23,46.758524
-3.251134,18,46.865019
-1.146323,18,47.044382
-7.324447,15,47.159248
1.255395,21,47.288015
-8.162419,11,47.345114
1.156083,14,47.417278
-0.927587,15,47.500748
4.502079,14,47.586625
-1.322712,26,47.704361
-7.889522,19,47.786672
-2.615344,8,47.828734
-0.857044,10,47.880057
-1.697512,20,47.980277
1.782792,13,48.048224
-6.28006,15,48.122102
-9.251368,16,48.197305
0.889689,10,48.248217
-4.359502,17,48.329113
-5.002296,16,48.409273
-5.287574,21,49.631399
-4.068663,23,49.748808
-2.438856,11,49.812301
-10.580509,19,49.892274
-11.626493,15,49.953078
-7.916182,20,50.041036
-10.088506,14,50.120386
-9.019211,19,50.238881
-11.470545,17,50.332306
3.461592,12,50.386132
-2.76443,14,50.462017
-8.022822,15,50.540198
-5.111057,22,50.644971
0.121964,21,50.747579
-7.410447,10,50.802318
-7.017451,20,50.89229
-6.492923,9,50.931713
-12.164768,17,51.040995
-6.552113,22,51.166282
-3.683463,12,51.254271
3.728999,27,51.403132
-4.254432,12,51.457382
-7.867162,18,51.558566
13.212251,23,51.671292
-15.422222,13,51.742781
-9.415801,15,51.83151
-6.793476,15,51.928564
-9.411621,17,52.023427
-5.047425,8,52.069598
3.145523,19,52.181784
2.250149,15,52.25209
-6.040177,11,52.312263
-4.413353,8,52.356187
5.017316,33,52.524909
5.881735,21,52.633221
-9.636539,15,52.702645
-6.318435,20,52.792616
-2.190989,9,52.842118
8.758259,18,52.93001
-12.903803,16,53.01751
-3.880381,21,53.127455
-10.913219,15,53.195699
0.463222,16,53.278698
2.345628,17,53.359627
-5.017916,11,53.410113
-9.537217,17,53.491019
-0.733596,23,53.620485
0.389888,12,53.684373
2.46438,13,53.766904
-6.470674,18,53.860335
-12.962874,16,53.955266
-7.280182,12,54.019555
-2.29412,9,54.071684
-3.07709,23,54.205983
-3.89263,22,54.327278
-2.826066,9,54.378856
-2.506762,26,54.542987
-8.57608,19,54.668966
-3.403255,10,54.750602
-11.486688,12,54.831995
-4.380556,25,54.991201
-6.391426,16,60.185299
-9.844972,16,60.289043
-3.030053,10,60.354256
-9.173062,14,60.458036
1.790918,17,60.57153
-5.107508,11,60.645247
-6.285242,18,60.772251
-4.082898,9,60.837906
-4.933352,9,60.895133
-6.265551,20,61.011868
-3.466994,23,61.120884
-5.670234,9,61.158759
-6.402405,19,61.250749
-1.597384,25,61.363524
-0.918538,27,61.516765
-9.177423,17,61.608021
-1.896125,13,61.671668
-8.821852,19,61.758725
-2.168022,22,61.860907
