Evaluate/discounted_episode_lengths,Evaluate/discounted_episode_returns,Evaluate/episode_lengths,Evaluate/episode_returns,Evaluate/iter,TRPO/cg_residual,TRPO/dist_mean,TRPO/dist_std,TRPO/fps,TRPO/grad_norm,TRPO/iter,TRPO/mse_loss,TRPO/nat_grad_norm,TRPO/reward,TRPO/step_size,TRPO/vf_loss,Discriminator/fake_logits,Discriminator/fake_prob,Discriminator/grad_norm,Discriminator/grad_penalty,Discriminator/iter,Discriminator/loss,Discriminator/regularization,Discriminator/true_logits,Discriminator/true_prob
170,152.48657990416916,185,154.46483738334504,0,,,,,,,,,,,,,,,,,,,,
,,,,,4.136686e-06,-2.3684777e-05,1.0,25,0.3302264,1000,0.39468083,0.4329801,-1.3363402104005218e-08,0.44242691589815974,0.67317975,,,,,,,,,
,,,,,1.812479e-05,-0.0054278057,0.9957727,21,0.40751097,2000,0.41958013,0.46004054,6.779999239370227e-09,0.3873867839454462,0.61005,,,,,,,,,
,,,,,1.8210585e-05,-0.00841474,0.9990276,18,0.45331937,3000,0.4391117,0.5118176,-3.3887026802403853e-09,0.34253535683897873,0.83989626,,,,,,,,,
,,,,,7.753659e-05,-0.008821511,0.99460787,16,0.47380635,4000,0.4330735,0.4879999,2.484543074388057e-09,0.35260536110670976,0.6655538,,,,,,,,,
,,,,,0.00013944886,-0.0021951955,0.99072105,14,0.53198457,5000,0.46233988,0.49633497,-1.825060462579131e-08,0.321712799656902,0.77230036,,,,,,,,,
,,,,,,,,,,,,,,,,0.32117048,0.57605845,13.869513,1.5255177,5000,1.8659389,0.0,-0.019250918,0.49518287
19,-7.0578462110720634,19,-7.140848098236899,5000,,,,,,,,,,,,,,,,,,,,
,,,,,0.000117013224,-0.012056014,0.9852323,118,0.57593983,6000,0.49681497,0.52045816,3.077599103562534e-09,0.30209510800662553,0.7109283,,,,,,,,,
,,,,,0.00021227806,0.0041239075,0.97767323,62,0.5018646,7000,0.5500124,0.493198,-1.1937241652049125e-08,0.34905159496869453,0.39585087,,,,,,,,,
,,,,,0.0002564534,0.018202262,0.97469115,43,0.5294552,8000,0.55727935,0.526651,1.5023221749288494e-08,0.33107015463713596,0.33009866,,,,,,,,,
,,,,,0.00018597994,0.029156534,0.96853286,32,0.5612996,9000,0.5984476,0.43985668,9.518422302789986e-09,0.3557250680988296,0.23793286,,,,,,,,,
,,,,,0.00037150682,0.037175793,0.9626861,26,0.5062068,10000,0.6384351,0.48978454,-1.6608129953965543e-08,0.35919718725290645,0.27732146,,,,,,,,,
,,,,,,,,,,,,,,,,0.007826034,0.50239825,10.229819,0.8740867,10000,0.8903934,0.0,-0.008480698,0.4980587
15,-11.53575588629701,15,-11.60145140112685,10000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00037324123,0.04023372,0.95606977,105,0.5274254,11000,0.57591194,0.47911716,6.580346962437033e-09,0.36377997772912496,0.25513804,,,,,,,,,
,,,,,0.0006947252,0.063856006,0.95336777,56,0.64295626,12000,0.6167223,0.5001205,3.0153460102155804e-09,0.33120505447035664,0.22397761,,,,,,,,,
,,,,,0.0007062143,0.08980536,0.9485791,38,0.5994925,13000,0.61814785,0.5065439,-1.5382582205347718e-08,0.3227756416038964,0.17265683,,,,,,,,,
,,,,,0.0007514354,0.10509021,0.93543524,29,0.5673789,14000,0.67349124,0.5400758,1.264343154616654e-08,0.3412698695558791,0.10220073,,,,,,,,,
,,,,,0.0007589522,0.120772116,0.92522997,24,0.62247545,15000,0.6971638,0.55433166,-7.613334673806094e-10,0.32043551884633337,0.14095621,,,,,,,,,
,,,,,,,,,,,,,,,,-0.6207612,0.35426643,9.857115,0.5803271,15000,-0.043451395,0.0,0.0030173615,0.5011596
15,-10.998805859542708,15,-11.172197632142707,15000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00086741836,0.1452592,0.9155731,110,0.5959991,16000,0.6642849,0.4166262,-6.015707913320511e-08,0.3738146560890081,0.096084,,,,,,,,,
,,,,,0.00072887196,0.15518145,0.9177348,60,0.6683115,17000,0.67570335,0.48317865,4.284322494640947e-08,0.3161558923766553,0.1885674,,,,,,,,,
,,,,,0.0009726011,0.1747335,0.9134088,40,0.74762994,18000,0.62390965,0.5108503,-4.446780076250434e-08,0.27198386331659513,0.19127664,,,,,,,,,
,,,,,0.00082075933,0.20231134,0.9109353,31,0.76963884,19000,0.59648925,0.49717087,-1.15568982437253e-08,0.281292957344655,0.20392661,,,,,,,,,
,,,,,0.0004699657,0.22501846,0.91219556,25,0.7984716,20000,0.58842736,0.48287508,2.654516720212996e-09,0.28116533750738615,0.29145712,,,,,,,,,
,,,,,,,,,,,,,,,,-1.2872431,0.2317886,8.371337,0.4744047,20000,-0.85218537,0.0,0.039346885,0.5105273
24,-2.043360079036413,24,-2.0547758032635324,20000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0010784799,0.2395789,0.9069832,64,0.6827096,21000,0.58121634,0.5531939,4.639732651412487e-08,0.30523262041112825,0.39360902,,,,,,,,,
,,,,,0.0005980208,0.264401,0.90601504,42,0.7997447,22000,0.58630055,0.50361294,2.6063280529342593e-08,0.2973515552695077,0.83160853,,,,,,,,,
,,,,,0.0005712596,0.2852863,0.9025087,32,0.6642204,23000,0.6140485,0.49253023,-3.0954746762290596e-08,0.3395263618520967,0.8804137,,,,,,,,,
,,,,,0.0014992309,0.33231136,0.89622486,25,0.5262384,24000,0.6200363,0.53961253,-1.8121118046110497e-09,0.3988511654776202,1.1026528,,,,,,,,,
,,,,,0.001557606,0.33720046,0.90022683,21,0.5969223,25000,0.6008763,0.48058143,1.9935134332627058e-08,0.4139892505252931,1.2830206,,,,,,,,,
,,,,,,,,,,,,,,,,-1.3779426,0.22508523,6.923691,0.45817915,25000,-0.9189289,0.0,-0.00083457306,0.50369567
312,309.06230220860743,278,356.36297889667014,25000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0010815519,0.39044166,0.90100795,26,0.6293085,26000,0.59299403,0.54301226,-6.604974714718992e-09,0.38751364686961104,1.2270398,,,,,,,,,
,,,,,0.001409586,0.42338192,0.89762104,22,0.6075031,27000,0.58608675,0.5051132,3.195344652340282e-08,0.41722361421026616,2.2162,,,,,,,,,
,,,,,0.0035577905,0.44554415,0.8995129,19,0.45955372,28000,0.58796436,0.4506791,1.3292286894284188e-08,0.4593848736687849,1.2190564,,,,,,,,,
,,,,,0.001877604,0.43272322,0.8973516,16,0.5943813,29000,0.6391394,0.48286474,-2.8955837478861213e-09,0.40777153594228344,1.4022634,,,,,,,,,
,,,,,0.0010599444,0.5061231,0.8915096,15,0.6180693,30000,0.6538981,0.48926333,-1.6796264389995484e-08,0.40499795671408384,1.5224942,,,,,,,,,
,,,,,,,,,,,,,,,,-1.1233095,0.26853818,5.6234403,0.40348557,30000,-0.7311401,0.0,0.011316136,0.50756276
216,299.4410537246804,221,345.65447177094677,30000,,,,,,,,,,,,,,,,,,,,
,,,,,0.00482362,0.4955587,0.89451176,33,0.44306847,31000,0.6563645,0.5516862,1.7616548575460911e-09,0.3885598696291905,1.4680669,,,,,,,,,
,,,,,0.005009898,0.5008057,0.8920238,27,0.46736625,32000,0.62313575,0.5449083,3.5626580938696863e-09,0.38704317987237963,0.7091164,,,,,,,,,
,,,,,0.0028939657,0.4630594,0.88766503,22,0.36805794,33000,0.67757624,0.4217827,3.7104691728018226e-09,0.5123187724558276,1.301393,,,,,,,,,
,,,,,0.0017339155,0.51684964,0.88654995,19,0.4168346,34000,0.63612854,0.48660633,-1.0774441761896014e-08,0.4344462264731614,1.1919724,,,,,,,,,
,,,,,0.0015010706,0.54793483,0.882474,17,0.57458866,35000,0.6673381,0.39384097,1.778926161932759e-09,0.4697636742175879,1.3577744,,,,,,,,,
,,,,,,,,,,,,,,,,-1.4485251,0.20567709,5.3011527,0.3369992,35000,-1.1370507,0.0,0.025524627,0.51194304
227,153.73966800861203,256,197.58023002773115,35000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0024201185,0.55225056,0.8808831,30,0.33098912,36000,0.6698448,0.49711442,8.731694833841175e-09,0.4593155120547624,1.1925337,,,,,,,,,
,,,,,0.005062334,0.54065424,0.87973046,24,0.3667007,37000,0.7548604,0.5241014,-4.726076440420002e-09,0.40558486247294123,0.9599125,,,,,,,,,
,,,,,0.0009836231,0.5243103,0.8763884,20,0.34506652,38000,0.711356,0.40734354,-2.4318011128343643e-08,0.5005460484630169,1.1923935,,,,,,,,,
,,,,,0.0030958357,0.5360151,0.87580943,18,0.46674517,39000,0.7653513,0.56375563,1.095819243346341e-08,0.3873562081475274,0.5598176,,,,,,,,,
,,,,,0.005572995,0.5407754,0.8725185,15,0.4931927,40000,0.7359059,0.514714,3.285940329078585e-08,0.4248233856928656,0.5603367,,,,,,,,,
,,,,,,,,,,,,,,,,-1.7434255,0.16582865,5.5957913,0.33318576,40000,-1.4574822,0.0,0.047242362,0.515561
298,327.48394662164685,263,376.5583197901067,40000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0023524342,0.5440986,0.8696349,28,0.55495983,41000,0.7796362,0.50150496,-1.0119430953636766e-08,0.41774106453793136,0.44415197,,,,,,,,,
,,,,,0.0036639217,0.53223866,0.874193,23,0.37538502,42000,0.75652784,0.46644482,-5.3398784075398e-08,0.45649544734982017,0.7694339,,,,,,,,,
,,,,,0.0030713375,0.55332404,0.87489855,19,0.4676262,43000,0.7778032,0.45836014,-2.873285484383814e-08,0.4170602096530745,0.9243844,,,,,,,,,
,,,,,0.0045031067,0.53950727,0.87444335,17,0.36964822,44000,0.73463804,0.4801167,5.494395736604929e-09,0.4248289696322225,0.53306174,,,,,,,,,
,,,,,0.0049931076,0.54941976,0.8778213,15,0.42867953,45000,0.7645642,0.5093856,-3.373986692167818e-08,0.37803225678123875,0.5165445,,,,,,,,,
,,,,,,,,,,,,,,,,-2.4014792,0.099406116,6.0368814,0.31095135,45000,-2.1551383,0.0,0.06461027,0.5271137
251,215.0765368980539,243,184.58237040104694,45000,,,,,,,,,,,,,,,,,,,,
,,,,,0.003977311,0.5543374,0.87880313,29,0.43720686,46000,0.85996056,0.4532021,3.065148484893143e-08,0.4334715245504975,0.8864522,,,,,,,,,
,,,,,0.0046330765,0.55879295,0.877288,24,0.43724027,47000,0.75740194,0.47568992,3.3346033887937664e-08,0.4413945587876092,1.0516346,,,,,,,,,
,,,,,0.002033305,0.5351692,0.8738148,20,0.30080482,48000,0.72730297,0.45715898,-1.5203782822936774e-08,0.47269177054018185,1.0618604,,,,,,,,,
,,,,,0.0019413356,0.52906704,0.87614316,17,0.32561672,49000,0.81153727,0.51544696,-5.122511356603354e-08,0.45163903068236977,1.4219391,,,,,,,,,
,,,,,0.0022877683,0.527695,0.8733823,15,0.36589858,50000,0.75687885,0.5063599,3.3182252082042394e-08,0.4730869394910668,0.8624904,,,,,,,,,
,,,,,,,,,,,,,,,,-2.9338577,0.06598671,5.739322,0.3253497,50000,-2.7008734,0.0,0.09236522,0.53614587
212,319.9416819715786,202,354.15135696362444,50000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0019305325,0.49771607,0.87454945,35,0.35652596,51000,0.83839417,0.51337904,-1.3058717013336718e-07,0.43476818256181843,1.0923724,,,,,,,,,
,,,,,0.003667104,0.47060564,0.8726664,27,0.4166891,52000,0.76941043,0.6957234,-1.599700772203505e-08,0.3557707384979036,0.47948498,,,,,,,,,
,,,,,0.0016242807,0.49371782,0.879462,23,0.42766404,53000,0.823397,0.56881917,8.83219763636589e-09,0.4025653681411034,1.1384627,,,,,,,,,
,,,,,0.0023281102,0.501927,0.875187,19,0.41519946,54000,0.88388664,0.5502948,4.047324182465673e-08,0.3944218561059265,0.81633043,,,,,,,,,
,,,,,0.004757094,0.47697306,0.87186766,17,0.46446437,55000,0.88854235,0.6086352,-9.776650767889805e-08,0.3459436015874103,0.5707457,,,,,,,,,
,,,,,,,,,,,,,,,,-3.3650181,0.050593037,5.776997,0.43087342,55000,-3.048135,0.0,0.11399047,0.53905797
163,305.8889249725779,156,327.61995696878466,55000,,,,,,,,,,,,,,,,,,,,
,,,,,0.0025806709,0.5051006,0.87047553,43,0.36180836,56000,0.9289562,0.48747656,-3.873313107760623e-08,0.4625150653076279,0.5666539,,,,,,,,,
,,,,,0.0038757902,0.49427056,0.87354726,33,0.51360506,57000,0.89689523,0.54517555,-6.25037937425077e-08,0.36022116767270895,0.8266527,,,,,,,,,
,,,,,0.0022854772,0.49311396,0.87443143,26,0.4952588,58000,0.90334034,0.5514056,3.67823668057099e-08,0.38598618237987337,0.985798,,,,,,,,,
,,,,,0.0037585027,0.45129776,0.87292963,22,0.47540194,59000,1.0043263,0.6582119,2.369222784182057e-08,0.3607320110707729,1.0254519,,,,,,,,,
,,,,,0.007836586,0.4769469,0.8684063,19,0.56607336,60000,0.9001321,0.77431333,3.3251493732677775e-08,0.32564248571846266,0.5688661,,,,,,,,,
