raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/rollout/ep_len_mean,raw/gen/train/actor_loss,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/critic_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/rollout/ep_rew_mean,raw/gen/time/episodes,raw/gen/time/total_timesteps
0.001,3000,1000.0,-15.495317217826843,1,766,0.40445495369844137,627.7271540860335,-25.040156999999994,4,4000
0.001,7000,1000.0,-23.04566223335266,1,768,0.5440634508822113,628.1428124351161,-23.842000125,8,8000
0.001,11000,1000.0,-30.10215792274475,1,766,0.9081807608650997,593.8658654500138,-22.151284,12,12000
0.001,15000,1000.0,-34.537968257904055,1,770,1.3129157094135882,540.7616822858652,-21.968230749999996,16,16000
0.001,19000,1000.0,-37.57744900131225,1,762,1.752756251938641,475.29199754211464,-21.560388749999998,20,20000
0.001,23000,1000.0,-38.14694874954223,1,759,1.6300844185762107,411.5647097572522,-21.2585645,24,24000
0.001,27000,1000.0,-37.026232624053954,1,768,1.6473943479321898,357.8931576299343,-21.290374464285712,28,28000
0.001,31000,1000.0,-35.36289981460571,1,766,1.3928269349187612,315.03726197855036,-21.459508468750002,32,32000
0.001,35000,1000.0,-33.16842332267761,1,768,1.1771426616758107,280.84588542388354,-21.61328002777778,36,36000
0.001,39000,1000.0,-30.923343530654908,1,766,1.0116564473807812,253.18024092165376,-21.693855300000003,40,40000
0.001,43000,1000.0,-28.80609637069702,1,757,1.0032677058279513,230.3918149121773,-21.77736465909091,44,44000
0.001,47000,1000.0,-26.678478393554688,1,767,0.7500389378741383,211.32548864144508,-21.689002520833338,48,48000
0.001,51000,1000.0,-24.75076284790039,1,768,0.5540809426680208,195.15716417346096,-21.874838326923076,52,52000
0.001,55000,1000.0,-22.895090003967287,1,761,0.6609850816726685,181.26983085753508,-21.948498482142856,56,56000
0.001,59000,1000.0,-21.100665313720704,1,760,0.5277564272768795,169.21961731581936,-22.092172633333334,60,60000
0.001,63000,1000.0,-19.760512954711913,1,768,0.4344031790997833,158.66609768869134,-22.11002071875,64,64000
0.001,67000,1000.0,-18.426251485824586,1,748,0.4518061974532902,149.34715431067335,-22.01261023529412,68,68000
0.001,71000,1000.0,-17.211046659469606,1,764,0.4276788256261498,141.0604572745678,-22.048536624999997,72,72000
0.001,75000,1000.0,-16.069852533340455,1,765,0.3390160544794053,133.64182942711665,-22.026687763157895,76,76000
