raw/gen/train/learning_rate,raw/gen/time/time_elapsed,raw/gen/time/total_timesteps,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/time/fps,raw/gen/time/episodes,raw/gen/train/actor_loss,raw/gen/train/n_updates,raw/gen/train/critic_loss,raw/gen/rollout/ep_len_mean,raw/gen/rollout/ep_rew_mean
0.001,1,4000,683.0912585655848,565,4,-8.987937564849853,3000,0.057594653571024536,1000.0,3.742493500000002
0.001,1,8000,664.2284234591892,566,8,-22.009926376342772,7000,0.46426923546008764,1000.0,-6.673470375000001
0.001,1,12000,651.8997181789441,562,12,-49.77324381637573,11000,2.5321392019614577,1000.0,-17.018365
0.001,1,16000,566.3899618834257,568,16,-70.49757229614258,15000,6.20011319309473,1000.0,-44.68008443750001
0.001,1,20000,496.35778652004115,557,20,-85.1428165359497,19000,8.23591571545601,1000.0,-17.514369400000003
0.001,1,24000,480.71956173934893,573,24,-159.89837712097167,23000,32.28019386458397,1000.0,-41.03310741666666
0.001,1,28000,417.07734194148605,558,28,-199.17152542114258,27000,47.624614200115204,1000.0,-88.51511489285714
0.001,1,32000,376.4630675405168,569,32,-218.417517578125,31000,51.044548370361326,1000.0,-60.97709453125
0.001,1,36000,348.4019567968008,569,36,-228.93509600830077,35000,52.518048590660094,1000.0,-88.94770436111111
0.001,1,40000,331.8540204550598,569,40,-232.08158096313477,39000,55.916706749916074,1000.0,-99.79028235000001
0.001,1,44000,304.2323019098548,570,44,-233.52256422424315,43000,62.91579922199249,1000.0,-100.04689427272729
0.001,1,48000,281.83892706912286,570,48,-228.13268716430665,47000,64.45020928955078,1000.0,-100.40060043749999
0.001,1,52000,265.0012372442956,565,52,-225.27087081909178,51000,53.014118523597716,1000.0,-104.26961334615383
0.001,1,56000,249.5606815470906,576,56,-221.89147425842285,55000,54.01420105409622,1000.0,-107.15613089285715
0.001,1,60000,237.30939741164568,573,60,-218.23864283752442,59000,48.862923239707946,1000.0,-106.88499693333333
0.001,1,64000,224.45426066874427,561,64,-211.29097695922852,63000,48.603217896938325,1000.0,-93.503921234375
0.001,1,68000,214.54123292819546,567,68,-203.94220408630372,67000,45.43094179821014,1000.0,-103.35911519117646
0.001,1,72000,203.83328776839522,574,72,-194.62618495178222,71000,40.06068055582047,1000.0,-104.27857915277778
0.001,1,76000,198.0631564709817,775,76,-184.73547564697265,75000,39.262719345092776,1000.0,-99.40196964473684
0.001,1,80000,193.1298470251649,769,80,-174.64173600769044,79000,29.39776465678215,1000.0,-93.2301292
0.001,1,84000,184.30111729929075,779,84,-161.64553187561035,83000,23.129767363786698,1000.0,-83.44776033333332
0.001,1,88000,184.01298915580273,774,88,-153.0688046875,87000,24.18439811873436,1000.0,-70.1359871931818
0.001,1,92000,178.64015240718146,773,92,-143.9592328338623,91000,24.132787002801894,1000.0,-52.026090054347826
0.001,1,96000,173.31539577931935,765,96,-136.33325239562987,95000,21.961180869340897,1000.0,-28.63839211458333
0.001,1,100000,172.50845599399838,772,100,-128.10288039398193,99000,19.382270621299742,1000.0,-29.120035339999994
0.001,1,104000,150.71087543231198,780,104,-121.10328080749511,103000,17.906807476520537,1000.0,-35.1613386
0.001,1,108000,125.96520579159643,757,108,-114.34463557434081,107000,15.384628232002258,1000.0,-38.826688839999996
0.001,1,112000,102.2713761318855,781,112,-107.7781091003418,111000,13.1187071505785,1000.0,-48.43408268999999
0.001,1,116000,92.83799433849457,768,116,-101.37805342102051,115000,12.324036274313928,1000.0,-53.11136182999999
0.001,1,120000,84.14395798651381,775,120,-94.42878939056396,119000,10.015486236095429,1000.0,-73.49873752999999
0.001,1,124000,69.4280146114069,768,124,-88.05590747070312,123000,9.587061612010002,1000.0,-86.89261957000001
0.001,1,128000,69.54395960452894,778,128,-81.88760763549804,127000,8.734488087534904,1000.0,-58.664242380000005
0.001,1,132000,68.28684629350565,766,132,-76.84969283294677,131000,7.152878133118152,1000.0,-69.80333356
0.001,1,136000,64.69182340669443,761,136,-71.95971294403076,135000,6.141079722642899,1000.0,-54.98994396
0.001,1,140000,59.19985776511234,756,140,-69.10204248809815,139000,6.954954228520394,1000.0,-53.50094081
0.001,1,144000,58.967895072276384,777,144,-66.38494095611573,143000,6.003160481691361,1000.0,-45.86128404000001
0.001,1,148000,58.95255523686228,781,148,-63.27339371109009,147000,5.568446931242943,1000.0,-56.23355226
0.001,1,152000,57.12837166289625,765,152,-60.65199850082397,151000,5.868850198090076,1000.0,-58.90044545
0.001,1,156000,58.799832218338366,769,156,-58.785714668273926,155000,5.030446969389915,1000.0,-54.006913700000005
0.001,1,160000,57.0853019501359,740,160,-57.261699565887454,159000,4.993827171206474,1000.0,-40.86668807
0.001,1,164000,57.281800622942654,761,164,-55.626296886444095,163000,4.7270390619039535,1000.0,-44.74782193999999
0.001,1,168000,56.576234483684544,777,168,-53.48858915710449,167000,4.435671371161938,1000.0,-44.68406583
0.001,1,172000,55.7241086243088,776,172,-51.475363204956054,171000,3.960101011455059,1000.0,-47.709607299999995
0.001,1,176000,56.18188773788526,768,176,-49.38776396560669,175000,3.476260388851166,1000.0,-50.023564560000004
0.001,1,180000,54.459113738414935,769,180,-47.85777864837647,179000,3.7052952798604966,1000.0,-31.74255159000001
0.001,1,184000,55.77618943565436,761,184,-46.0889718208313,183000,3.374622245669365,1000.0,-37.28484602
0.001,1,188000,49.25980013957981,759,188,-44.18429776763916,187000,3.218061379134655,1000.0,-61.51294821999998
0.001,1,192000,47.75574650627018,762,192,-42.95841269683838,191000,3.045130177348852,1000.0,-95.94971475
0.001,1,196000,46.30657805059493,761,196,-41.14650914001465,195000,3.13157191953063,1000.0,-112.87361664999999
0.001,1,200000,41.427641532160486,763,200,-39.99652708816528,199000,2.8019401406049727,1000.0,-116.44522705
0.001,1,204000,43.318078766951565,776,204,-38.64618069839477,203000,2.5097911564707758,1000.0,-110.31894365000002
0.001,1,208000,43.062554556641096,778,208,-36.83531017684937,207000,2.3973973864912987,1000.0,-85.36590028000002
0.001,1,212000,42.79351430881048,753,212,-35.448067611694334,211000,2.0072749650776385,1000.0,-74.54767408000002
0.001,1,216000,39.53236528348589,767,216,-34.26345762825012,215000,1.9922709532380105,1000.0,-64.27057112000001
0.001,1,220000,39.21721938851552,766,220,-33.42289657020569,219000,1.8246148214936257,1000.0,-47.74406319
0.001,1,224000,39.07601049401659,774,224,-32.44973513031006,223000,1.8969072972536087,1000.0,-56.910170609999994
0.001,1,228000,37.6726792811815,765,228,-31.707506160736084,227000,1.7655682355314493,1000.0,-74.18573531999999
0.001,1,232000,35.14312481808549,766,232,-30.731917245864867,231000,1.748908963739872,1000.0,-77.62629536
0.001,1,236000,34.44657650847067,769,236,-29.471438411712647,235000,1.581120194286108,1000.0,-85.07697405
0.001,1,240000,34.07205548188034,766,240,-28.62312957382202,239000,1.2769281179606915,1000.0,-56.351877030000004
0.001,1,244000,33.429168808578886,777,244,-27.850654495239258,243000,1.4477463419437409,1000.0,-37.25403973000002
0.001,1,248000,33.324461986552485,773,248,-27.210835718154907,247000,1.7020277815312148,1000.0,-23.617631530000008
0.001,1,252000,32.86791504045812,776,252,-27.086598266601563,251000,1.486923493117094,1000.0,-13.47913825
0.001,1,256000,29.560799203460977,767,256,-26.627618295669556,255000,1.3788642678260803,1000.0,-12.707023280000005
0.001,1,260000,29.918060128065967,768,260,-25.81266606903076,259000,1.5154108487665654,1000.0,-19.592189560000005
0.001,1,264000,28.768239869775112,762,264,-25.343034112930297,263000,1.6307843928337098,1000.0,-16.64534407000001
0.001,1,268000,28.086568399044175,768,268,-24.874540451049803,267000,1.3350871111899614,1000.0,-11.909898030000004
0.001,1,272000,28.52314799775987,771,272,-24.34847206687927,271000,1.4235903295874595,1000.0,-6.396712889999996
0.001,1,276000,24.822901872171364,766,276,-24.3207139415741,275000,1.3803054372668266,1000.0,2.40305836
0.001,1,280000,23.185193295700525,764,280,-24.18936327934265,279000,1.2383625671863556,1000.0,-13.178615500000001
