raw/gen/train/learning_rate,raw/gen/time/fps,raw/gen/train/actor_loss,raw/gen/time/total_timesteps,raw/gen/train/critic_loss,raw/gen/time/episodes,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/time/time_elapsed,raw/gen/train/n_updates
0.001,573,-17.60732919883728,4000,0.1365932500474155,4,790.532200217247,1,3000
0.001,574,-66.32107571792602,8000,3.3571942796558143,8,760.279370205743,1,7000
0.001,596,-108.26870329284668,12000,4.844576011806726,12,713.831683983857,1,11000
0.001,584,-189.13893606567382,16000,11.985613251328468,16,628.8230542490879,1,15000
0.001,587,-246.3083598022461,20000,11.42994873714447,20,539.4220128002528,1,19000
0.001,601,-278.5133191986084,24000,12.689884191036224,24,456.77985839553827,1,23000
0.001,597,-364.9966338806152,28000,28.713972433567047,28,403.4207534095255,1,27000
0.001,607,-359.9434011230469,32000,19.70708199071884,32,354.27962707764385,1,31000
0.001,594,-325.8019041748047,36000,12.475719317436218,36,315.15537512972037,1,35000
0.001,592,-304.7945386657715,40000,10.340038343429566,40,284.3796345556232,1,39000
0.001,589,-273.55985891723634,44000,8.160261948108673,44,258.7071933440274,1,43000
0.001,595,-245.5099013671875,48000,5.299145134925842,48,237.40484601955617,1,47000
0.001,577,-221.49442337036132,52000,4.762035215616226,52,219.58677458603708,1,51000
0.001,574,-198.67864964294432,56000,4.151001113057137,56,204.9029039171884,1,55000
0.001,556,-177.19215832519532,60000,3.6011018373966217,60,191.7648441011521,1,59000
0.001,559,-159.66606820678712,64000,3.0455274938344954,64,180.02906845023713,1,63000
0.001,575,-144.97830032348634,68000,2.786359511613846,68,169.67803216666158,1,67000
0.001,571,-132.16251267242433,72000,2.469852029085159,72,160.45547094650516,1,71000
0.001,573,-125.1770185546875,76000,3.766439865410328,76,152.1682173727417,1,75000
0.001,575,-146.4548083343506,80000,10.622393741846084,80,220.37154200543003,1,79000
0.001,576,-153.7516474456787,84000,7.295395660161972,84,215.669244906301,1,83000
0.001,553,-155.42389949035643,88000,8.509593493461608,88,210.79479609018273,1,87000
0.001,574,-171.48060026550294,92000,11.975976921081543,92,206.53214115216022,1,91000
0.001,555,-176.87630923461913,96000,11.27143064546585,96,211.11236015984488,1,95000
0.001,579,-179.36750845336914,100000,11.067243290424347,100,203.72651694364703,1,99000
