raw/gen/time/total_timesteps,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/critic_loss,raw/gen/train/actor_loss,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/learning_rate,raw/gen/time/episodes,raw/gen/train/n_updates
4000,768.5303501288096,0.41099983953684566,-26.468803575515746,1,755,0.001,4,3000
8000,751.638151624373,2.6646231935024263,-58.40523105239868,1,769,0.001,8,7000
12000,698.3097861409187,5.8631654441356655,-94.98500491333007,1,776,0.001,12,11000
16000,636.0263223588466,6.512906192779541,-112.7132903213501,1,781,0.001,16,15000
20000,561.9533592282157,4.9084095482826235,-123.86013153076172,1,774,0.001,20,19000
24000,492.55836839820057,5.511467041015625,-137.43163131713868,1,779,0.001,24,23000
28000,434.06157465398536,4.326377475738526,-137.7352303161621,1,783,0.001,28,27000
32000,391.42087431098923,3.198818333148956,-133.19137660980223,1,779,0.001,32,31000
36000,355.66395018799085,2.393247017621994,-124.99643186950684,1,772,0.001,36,35000
40000,323.1559476386379,1.7714493994116782,-117.81630855560303,1,778,0.001,40,39000
44000,302.20385993456324,1.2228440409302712,-109.50725771331787,1,758,0.001,44,43000
48000,295.255227343,2.598868374824524,-107.96010440826416,1,766,0.001,48,47000
52000,320.1262313325853,2.6098849543333054,-107.10257775115967,1,730,0.001,52,51000
56000,314.9614742965031,3.617571832537651,-115.21750848388672,1,732,0.001,56,55000
60000,300.12405589726217,3.7778993183374405,-118.89039903259277,1,776,0.001,60,59000
64000,288.64455966848175,3.83289637029171,-120.38622994995117,1,776,0.001,64,63000
68000,275.1984468674583,3.259355432510376,-117.53922041320801,1,779,0.001,68,67000
72000,260.8443313280227,2.2237193736433984,-113.95195961761475,1,766,0.001,72,71000
76000,257.7506960333595,1.4726667174100876,-106.28788822937011,1,774,0.001,76,75000
80000,252.61781897208976,1.4052253425121308,-99.1655083770752,1,768,0.001,80,79000
84000,247.30443883832734,1.858808118700981,-93.00122494506836,1,772,0.001,84,83000
88000,236.31404799657554,1.8930895686745643,-87.6910489654541,1,761,0.001,88,87000
92000,227.61367848027345,1.793084435403347,-84.28407810974122,1,765,0.001,92,91000
96000,235.68157290078662,1.9514133411645889,-82.09788676452636,1,752,0.001,96,95000
100000,227.4852096117526,2.087469099879265,-79.63326667785644,1,772,0.001,100,99000
104000,204.10825012904075,1.916540581226349,-76.63372197723389,1,768,0.001,104,103000
108000,177.69644660045023,2.001332839846611,-74.45678978729248,1,765,0.001,108,107000
112000,156.85351875413872,1.819712777018547,-71.821083984375,1,777,0.001,112,111000
116000,140.43976670662892,1.7182013655900956,-68.5037040901184,1,771,0.001,116,115000
120000,130.9824317850246,1.6039588455557823,-67.32233783721924,1,757,0.001,120,119000
124000,125.4222619211114,1.2956218383908271,-65.38717694091797,1,766,0.001,124,123000
128000,125.04147816967121,1.2662366161644458,-61.838846832275394,1,761,0.001,128,127000
132000,122.00570105567101,1.3510718008875846,-59.19182898712158,1,759,0.001,132,131000
136000,119.15367385148015,1.3311835744976996,-58.217887210845944,1,769,0.001,136,135000
140000,119.35311679875451,1.4971780403852464,-57.586590198516845,1,769,0.001,140,139000
144000,117.069232878825,1.5493632708787919,-56.75968883132935,1,776,0.001,144,143000
148000,109.56380350686834,1.7245740116238595,-56.08267353439331,1,773,0.001,148,147000
152000,86.6548496872434,1.7454696000814438,-55.242454833984375,1,775,0.001,152,151000
156000,77.99666941270489,1.7021985962986945,-55.09033274841308,1,767,0.001,156,155000
160000,82.44189853722075,1.654298923432827,-54.85314752578736,1,766,0.001,160,159000
164000,78.08192099420695,1.74550233232975,-54.11338801956177,1,756,0.001,164,163000
168000,77.79902019498387,1.7666588700413703,-53.42445036315918,1,770,0.001,168,167000
172000,80.84703415547375,1.7555004854798317,-52.8837455329895,1,777,0.001,172,171000
176000,76.81531725406144,1.669910254240036,-53.01006364822388,1,770,0.001,176,175000
180000,72.32263836758393,1.8559274365901948,-52.75983458709717,1,768,0.001,180,179000
184000,67.70366068349198,1.5921435759663582,-51.91105178451538,1,778,0.001,184,183000
188000,68.97466123202135,1.4437498382925986,-51.19342609405518,1,777,0.001,188,187000
192000,71.379457225701,1.1966393919587135,-48.95247673416138,1,766,0.001,192,191000
196000,55.48132950484209,1.1964540354311466,-47.556523651123044,1,770,0.001,196,195000
200000,54.39407781812595,1.137108640640974,-47.207926612854,1,773,0.001,200,199000
204000,54.94011466030207,1.1545682152211667,-45.63137577438354,1,780,0.001,204,203000
208000,53.60452259516507,1.225590175241232,-44.9733182182312,1,775,0.001,208,207000
212000,50.53804508873552,1.171081240773201,-44.96401715087891,1,756,0.001,212,211000
216000,48.38628293766612,1.2462294222414494,-45.30305910873413,1,770,0.001,216,215000
220000,50.00630438943578,1.1951740030944347,-44.48864112091064,1,774,0.001,220,219000
224000,50.193289178406324,1.0834054824113846,-42.98032355499267,1,769,0.001,224,223000
228000,47.70744095608204,1.021042771756649,-41.28343182373047,1,771,0.001,228,227000
232000,48.72182448089403,1.0612502675652504,-39.81642404174805,1,780,0.001,232,231000
236000,49.2616573380961,1.0489126211702824,-38.42120174026489,1,765,0.001,236,235000
240000,51.77904752153547,1.1170315032303333,-37.66674607467651,1,781,0.001,240,239000
244000,50.76985973977621,1.101855178564787,-37.26807858657837,1,771,0.001,244,243000
248000,51.36820674110223,1.0494503821730614,-36.254192321777346,1,770,0.001,248,247000
252000,50.7926136262156,1.1137970555722714,-35.50585241317749,1,771,0.001,252,251000
256000,51.05325253786966,1.4318746789991856,-35.13157308959961,1,777,0.001,256,255000
260000,44.33864168351667,1.4202955202758312,-35.47366829299927,1,763,0.001,260,259000
264000,44.39144044593478,1.2958651467561721,-35.646282716751095,1,757,0.001,264,263000
268000,44.779649433657184,1.334669964492321,-35.68238068962097,1,766,0.001,268,267000
272000,41.20118326646224,1.3769516730904579,-36.000771087646484,1,770,0.001,272,271000
276000,39.48758107571906,1.1880032312273978,-35.885769107818604,1,763,0.001,276,275000
280000,37.990018798824806,1.0161392044126987,-34.643887781143185,1,727,0.001,280,279000
284000,37.24324294913733,1.1049446214139462,-33.477524055480956,1,774,0.001,284,283000
288000,37.11089580353519,1.102625437885523,-33.22630679321289,1,758,0.001,288,287000
292000,34.091539513782145,1.0847739605605602,-32.552195442199704,1,778,0.001,292,291000
296000,35.56361523189015,1.0125338262468577,-31.2999038066864,1,760,0.001,296,295000
300000,36.98923058775486,0.9572591289877892,-30.569682327270506,1,779,0.001,300,299000
304000,35.839560153424735,0.8593225566744804,-29.763658620834352,1,766,0.001,304,303000
308000,35.86400053521527,0.8695431919395924,-29.40555220413208,1,775,0.001,308,307000
312000,36.53034922611204,0.8769257861077786,-28.971290676116944,1,778,0.001,312,311000
316000,37.483166708849,0.9270289955437183,-28.22393634033203,1,772,0.001,316,315000
320000,35.89463579092893,0.9265764085650444,-28.076833347320555,1,766,0.001,320,319000
324000,36.804441638649266,1.0091626875996589,-28.09761562347412,1,766,0.001,324,323000
328000,36.58559316883745,1.0389387774020433,-28.269100999832155,1,771,0.001,328,327000
332000,35.23894929957515,0.8745450458973646,-27.940422512054443,1,771,0.001,332,331000
336000,35.8808978737548,0.8453359186798334,-27.294620859146118,1,776,0.001,336,335000
340000,32.02595391904997,0.7982958504855633,-27.184330940246582,1,777,0.001,340,339000
344000,32.25514668442581,0.7317379103451968,-26.621062580108642,1,763,0.001,344,343000
348000,30.5701181632694,0.6755300395637751,-26.008265979766847,1,773,0.001,348,347000
352000,29.83918078806262,0.6330788259208202,-25.179395820617675,1,764,0.001,352,351000
356000,28.982883029855216,0.6927780830711127,-24.587005237579344,1,748,0.001,356,355000
360000,27.919128556849188,0.7637452081888914,-24.201341007232667,1,770,0.001,360,359000
364000,30.05154897228442,0.7826091261804103,-23.90271172904968,1,780,0.001,364,363000
368000,27.883910216637368,0.7902808147519826,-23.609915643692016,1,766,0.001,368,367000
372000,27.936501735523187,1.0015023017227649,-23.641710861206054,1,781,0.001,372,371000
376000,27.896315005496767,1.0749133732616902,-23.745809429168702,1,781,0.001,376,375000
380000,28.516560758027104,0.805413689777255,-23.601960750579835,1,778,0.001,380,379000
384000,28.458344622465493,0.888920502692461,-23.15845783042908,1,773,0.001,384,383000
388000,27.89369215805721,0.8066547663062811,-22.828225635528565,1,779,0.001,388,387000
392000,27.63074618126539,1.1072461050003768,-22.559434009552003,1,773,0.001,392,391000
396000,26.08101604680176,1.2501074480861425,-22.310956295013426,1,768,0.001,396,395000
400000,26.42072486190466,1.0240291685014964,-21.932387519836425,1,758,0.001,400,399000
404000,26.339996125170043,0.8824899436980486,-21.354341732025148,1,777,0.001,404,403000
408000,26.773701359861874,0.8206244185715914,-20.97530750656128,1,772,0.001,408,407000
412000,26.175639945019753,0.9719204536825419,-20.679738399505617,1,773,0.001,412,411000
416000,27.92213039797395,0.8570246641337872,-20.45500570487976,1,766,0.001,416,415000
420000,26.370764313507784,0.7345248955637217,-19.81340253829956,1,774,0.001,420,419000
424000,25.12262235815733,0.8339304246753454,-19.132861616134644,1,777,0.001,424,423000
428000,25.79238841449601,0.7293994939178229,-18.757819484710694,1,771,0.001,428,427000
432000,25.862895770194037,0.6914310258179903,-18.385771997451783,1,780,0.001,432,431000
436000,27.2771537688095,0.5857430912852287,-17.782191920280457,1,781,0.001,436,435000
440000,27.015109076497527,0.596976012840867,-17.215399499893188,1,743,0.001,440,439000
444000,26.745225466698162,0.6489907571077347,-16.960691477775573,1,761,0.001,444,443000
448000,27.405870797087577,0.6505846372097731,-16.758973159790038,1,758,0.001,448,447000
452000,27.664501640741605,0.7974573446065187,-16.802049897193907,1,742,0.001,452,451000
456000,27.319276921868592,0.9301394947916269,-16.817409414291383,1,767,0.001,456,455000
460000,27.026944325295513,0.9107845274955034,-16.7677302570343,1,754,0.001,460,459000
464000,25.1981877906813,0.7665801920592785,-16.647327078819274,1,774,0.001,464,463000
468000,25.54805057205549,0.7825198560357094,-16.23419592475891,1,773,0.001,468,467000
472000,25.659028403734187,0.7757940187901259,-16.262873163223265,1,768,0.001,472,471000
476000,23.664601198528338,0.7163131170123815,-16.60514924430847,1,761,0.001,476,475000
480000,23.26079174638903,0.6747646313011646,-16.422347752571106,1,771,0.001,480,479000
484000,25.565548898783177,0.6558541768938303,-16.2973926486969,1,766,0.001,484,483000
488000,25.17025105815967,0.6339119137227536,-16.019212867736815,1,737,0.001,488,487000
492000,24.975690200590815,0.5963914284259081,-15.768661108970642,1,769,0.001,492,491000
496000,24.84707029867752,0.5819049195945263,-15.58081687450409,1,779,0.001,496,495000
500000,24.36856383360329,0.6762849983423949,-15.319198472976684,1,771,0.001,500,499000
504000,23.961440155259407,0.5734462674260139,-15.19306293106079,1,781,0.001,504,503000
508000,22.783561341270392,0.5089266244322062,-14.992198803901672,1,776,0.001,508,507000
512000,22.939538300188566,0.5910303521901369,-15.008518838882447,1,776,0.001,512,511000
516000,21.03479383667496,0.6562323063388467,-14.971711119651795,1,770,0.001,516,515000
520000,23.481103230923296,0.6321842700690031,-14.91333032989502,1,741,0.001,520,519000
524000,23.674224170607236,0.6743180872797966,-14.974555850982666,1,774,0.001,524,523000
528000,22.65941817462074,0.7879220933318138,-15.073151111602783,1,756,0.001,528,527000
532000,22.18819809748408,0.7067156870365143,-15.236258797645569,1,766,0.001,532,531000
536000,20.261013800404225,0.7896307056844234,-15.581842936515809,1,781,0.001,536,535000
540000,20.65827893591809,0.7619814488887787,-15.696530282974242,1,766,0.001,540,539000
544000,20.249722626714906,0.7370173335969448,-15.924664788246155,1,777,0.001,544,543000
548000,20.446753717187224,0.5643236098140478,-15.386795590400697,1,773,0.001,548,547000
552000,20.401994645637377,0.5474851069748402,-14.929804252624512,1,774,0.001,552,551000
556000,20.577364284158712,0.5476720144450664,-14.808328957557679,1,780,0.001,556,555000
560000,21.023843804387514,0.44960155226290227,-14.533436467170715,1,771,0.001,560,559000
564000,20.59459212904778,0.4307225945442915,-14.209315462112427,1,763,0.001,564,563000
568000,21.069117984038886,0.4679305272325873,-14.106318680763245,1,772,0.001,568,567000
572000,21.169131699892123,0.47675200654566285,-13.739944966316223,1,772,0.001,572,571000
576000,21.14352715467884,0.45165263943374157,-13.670069639205932,1,773,0.001,576,575000
580000,21.811002096723428,0.44289602457731964,-13.594032819747925,1,772,0.001,580,579000
584000,19.77547157755286,0.40536134837567805,-13.047092522621154,1,772,0.001,584,583000
588000,20.03298973891129,0.41786245349794626,-12.785810483932496,1,780,0.001,588,587000
592000,20.263212789627147,0.39167284754663706,-12.590956460952759,1,776,0.001,592,591000
596000,20.144155738129417,0.4058276875242591,-12.348273972511292,1,773,0.001,596,595000
600000,19.30271541206657,0.47035671304166315,-12.248591835975647,1,779,0.001,600,599000
604000,18.798633457179783,0.513670333892107,-12.29093245601654,1,778,0.001,604,603000
608000,18.83078626107894,0.4370448833629489,-12.343436450958253,1,781,0.001,608,607000
612000,19.01682430774179,0.365924888625741,-12.212568855285644,1,770,0.001,612,611000
616000,19.390069892638337,0.4170640970915556,-12.087847590446472,1,762,0.001,616,615000
620000,16.75831351203581,0.400993647955358,-12.003308650970459,1,774,0.001,620,619000
624000,16.344327826953794,0.5261226894631982,-11.921174338340759,1,770,0.001,624,623000
628000,16.48639820152265,0.4986278020814061,-11.822541392326356,1,751,0.001,628,627000
632000,16.54449432099043,0.505611092120409,-11.706967472076416,1,781,0.001,632,631000
636000,15.950686606541181,0.4537052277773619,-11.803035365104675,1,773,0.001,636,635000
640000,15.965697830375106,0.47997157254070044,-12.017050857543945,1,753,0.001,640,639000
644000,15.94676035246155,0.46474093992263077,-12.108152268409729,1,779,0.001,644,643000
648000,16.14997727583078,0.4377705754637718,-12.149908067703247,1,770,0.001,648,647000
652000,16.007212766064676,0.4496854017004371,-12.046081548690795,1,768,0.001,652,651000
656000,16.36749916507831,0.47039369521290064,-11.950679989814759,1,770,0.001,656,655000
660000,16.12305957304951,0.4200051583275199,-11.727796715736389,1,777,0.001,660,659000
664000,16.138871829268375,0.45194079449772834,-11.63435904788971,1,771,0.001,664,663000
668000,15.582055678344798,0.5101164446920157,-11.5739549741745,1,772,0.001,668,667000
672000,15.283061042082279,0.4066822155788541,-11.660267533302306,1,770,0.001,672,671000
676000,15.697193210219936,0.45198981975764035,-11.570011288642883,1,776,0.001,676,675000
680000,15.192786791350217,0.3924730914533138,-11.42781146144867,1,770,0.001,680,679000
684000,15.643051137851096,0.49558047906309366,-11.361016342163087,1,760,0.001,684,683000
688000,15.27963980229723,0.5008444955274463,-11.394308019638062,1,767,0.001,688,687000
692000,14.757329915070557,0.4475710406377912,-11.291182423591614,1,762,0.001,692,691000
696000,15.058080828539552,0.4105307051241398,-11.140646969795228,1,766,0.001,696,695000
700000,14.589719628495068,0.4383896642178297,-11.15611375427246,1,754,0.001,700,699000
704000,14.66226819896509,0.4639477893784642,-10.979720646858215,1,771,0.001,704,703000
708000,14.231032757536262,0.4640249219536781,-10.931280721664429,1,770,0.001,708,707000
712000,13.618934846820656,0.4778225688710809,-10.865144255638123,1,762,0.001,712,711000
716000,12.63517761394992,0.5091512237563729,-10.914201238632202,1,772,0.001,716,715000
720000,12.51717016354557,0.5488422652482986,-11.010113909721374,1,770,0.001,720,719000
724000,11.966307803105774,0.5004278493672609,-10.642852040290833,1,726,0.001,724,723000
728000,11.465548876666167,0.43891719126701356,-10.439588183403016,1,763,0.001,728,727000
732000,11.781304709874664,0.41016195603460076,-10.505486592292785,1,764,0.001,732,731000
736000,11.543016566405681,0.4767868594005704,-10.439455604553222,1,768,0.001,736,735000
740000,11.532749522049624,0.5256085344851017,-10.640385013580323,1,775,0.001,740,739000
744000,11.451750647629003,0.4788871737867594,-10.635554138183593,1,772,0.001,744,743000
748000,10.730284523656607,0.48299736765027046,-10.688614663124085,1,778,0.001,748,747000
752000,11.214221275235285,0.4720549786537886,-10.651149041175842,1,759,0.001,752,751000
756000,10.37722553036209,0.46583864149451254,-10.619591917037964,1,772,0.001,756,755000
760000,11.208639038411247,0.4441293664425611,-10.489696129798888,1,771,0.001,760,759000
764000,10.982970686083691,0.36992908457666634,-10.25098660182953,1,769,0.001,764,763000
768000,10.564169362708697,0.3587169993445277,-10.010707598686219,1,738,0.001,768,767000
772000,10.770282025969582,0.38924317723512647,-9.982485634803773,1,773,0.001,772,771000
776000,10.633169588705755,0.41348013043403625,-10.001531174659728,1,777,0.001,776,775000
780000,10.322409112491009,0.40917371878027914,-10.059675850868224,1,772,0.001,780,779000
784000,9.388462355220716,0.44676720436662437,-10.048367948532105,1,763,0.001,784,783000
788000,9.412253148827581,0.4191828457042575,-10.198710456848145,1,779,0.001,788,787000
792000,10.238975836045572,0.41276954182982445,-10.278771068572999,1,766,0.001,792,791000
796000,9.561646305864492,0.38934360851347444,-10.00283991909027,1,774,0.001,796,795000
800000,9.80876240183375,0.37129401242733,-9.908979091644287,1,770,0.001,800,799000
804000,9.497794603242522,0.32131210901588203,-9.838136528015136,1,768,0.001,804,803000
808000,8.995958235236468,0.4070726721212268,-9.800847923278809,1,765,0.001,808,807000
812000,8.952456850334153,0.40096034291386606,-9.672081016540528,1,767,0.001,812,811000
816000,9.08553403134053,0.3794132342636585,-9.601690006256103,1,772,0.001,816,815000
820000,9.010726133273826,0.3854952020347118,-9.57561079597473,1,781,0.001,820,819000
824000,9.313655736470047,0.3643927599191666,-9.507406952857972,1,774,0.001,824,823000
828000,9.608117148742346,0.3475106889531016,-9.412300977230071,1,773,0.001,828,827000
832000,9.404173250409878,0.40332657631486657,-9.363146955013276,1,766,0.001,832,831000
836000,10.050770160002752,0.43270256722718475,-9.37974643611908,1,777,0.001,836,835000
840000,9.743675475512516,0.4168190468773246,-9.422765845775604,1,769,0.001,840,839000
844000,10.106321408154038,0.42520671037584545,-9.65725735759735,1,779,0.001,844,843000
848000,10.521230404080312,0.4608208540081978,-9.720122531890869,1,767,0.001,848,847000
852000,9.725042449417403,0.46131054318696263,-9.805277756690979,1,741,0.001,852,851000
856000,10.37788987492944,0.4851194683238864,-9.747733502388,1,770,0.001,856,855000
860000,9.229450965301927,0.44929816818237306,-9.713161450386048,1,773,0.001,860,859000
864000,9.355697378010813,0.4365384668558836,-9.55825381565094,1,773,0.001,864,863000
868000,9.3218221305237,0.4564134621173143,-9.47078034877777,1,774,0.001,868,867000
872000,8.97284308676258,0.5053878107219935,-9.55752815246582,1,770,0.001,872,871000
876000,8.834034418148587,0.5700183788016439,-9.669127780914307,1,778,0.001,876,875000
880000,9.928265424824126,0.5564756269007921,-9.65602078962326,1,765,0.001,880,879000
884000,9.971421060069128,0.5498036838024855,-9.772694562911987,1,774,0.001,884,883000
888000,9.935226690900674,0.5113183338940144,-9.803761523246765,1,772,0.001,888,887000
892000,9.261172153718777,0.4325015744119883,-9.623798292160034,1,775,0.001,892,891000
896000,9.234454098769625,0.394763351008296,-9.375368255615234,1,773,0.001,896,895000
900000,9.015435666704546,0.35533616956323383,-9.253369324684144,1,779,0.001,900,899000
904000,9.143507254862042,0.2762499713338912,-9.018357902526855,1,779,0.001,904,903000
908000,9.73994967075856,0.23648971242457628,-8.76219712781906,1,752,0.001,908,907000
912000,9.830187654842142,0.22004105186834932,-8.46179821395874,1,779,0.001,912,911000
916000,9.724152470625008,0.25860513470694424,-8.193157061576843,1,773,0.001,916,915000
920000,10.038804342581324,0.2719509619176388,-8.140300924301147,1,773,0.001,920,919000
924000,9.93055212437665,0.2514609144032002,-8.083702273845672,1,760,0.001,924,923000
928000,10.096945313092569,0.2379574993699789,-7.946543321609497,1,767,0.001,928,927000
932000,9.626993209597218,0.2452609531879425,-7.876353370666504,1,765,0.001,932,931000
936000,9.276481358047572,0.23475797699391843,-7.610012680530548,1,772,0.001,936,935000
940000,9.108511053263399,0.3054778696298599,-7.7037852377891545,1,757,0.001,940,939000
944000,8.732848655162785,0.27737913581356405,-7.652558037281036,1,771,0.001,944,943000
948000,8.02358025044008,0.2526492890752852,-7.609633891105652,1,771,0.001,948,947000
952000,7.989231283030231,0.2616395061723888,-7.615335362434387,1,750,0.001,952,951000
956000,7.337857051786748,0.3159254150316119,-7.662494691848755,1,751,0.001,956,955000
960000,7.631784545202611,0.32596486143767833,-7.839956427574157,1,766,0.001,960,959000
964000,7.39281247255002,0.30918746535480024,-7.849812512874603,1,768,0.001,964,963000
968000,7.4715582630894035,0.284175600014627,-7.851419720649719,1,770,0.001,968,967000
972000,7.595644319548324,0.24386163274198772,-7.827289958000183,1,763,0.001,972,971000
976000,7.4394259318941565,0.292097378898412,-7.822740291595459,1,770,0.001,976,975000
980000,6.0458921249835464,0.2848388451077044,-7.885773424148559,1,772,0.001,980,979000
984000,6.230943610050555,0.2890483197756112,-7.773885617733002,1,770,0.001,984,983000
988000,5.962764762399124,0.2675877470038831,-7.713831007957459,1,781,0.001,988,987000
992000,5.9044500517106835,0.2976888042241335,-7.712963722229004,1,769,0.001,992,991000
996000,5.855458751526619,0.2783910207897425,-7.6127572722435,1,778,0.001,996,995000
1000000,6.030267904786179,0.3087640483006835,-7.703533531188965,1,777,0.001,1000,999000
1004000,6.163625415424374,0.28429381872713566,-7.736994039535523,1,768,0.001,1004,1003000
1008000,5.500010452142662,0.28777790727838876,-7.621685070037842,1,742,0.001,1008,1007000
1012000,5.604819814357081,0.2540719496905804,-7.386096974849701,1,779,0.001,1012,1011000
1016000,5.587664204214795,0.2763639203682542,-7.264821836471557,1,779,0.001,1016,1015000
1020000,7.376137012021063,0.2957056258544326,-7.1143340549469,1,770,0.001,1020,1019000
1024000,7.69656324754764,0.3111650053821504,-7.034187118530274,1,769,0.001,1024,1023000
1028000,7.854448770557924,0.36822660175710914,-6.983004087924957,1,778,0.001,1028,1027000
1032000,8.000274133029805,0.343131538245827,-6.9601101660728455,1,735,0.001,1032,1031000
1036000,7.954310137340452,0.326889512643218,-7.021996018409729,1,764,0.001,1036,1035000
1040000,7.924274283980896,0.3160208344236016,-6.889429666996002,1,779,0.001,1040,1039000
1044000,7.921444820440869,0.3026923353224993,-6.845341538429261,1,770,0.001,1044,1043000
1048000,7.9146276860643745,0.2749785979241133,-6.640356100082397,1,772,0.001,1048,1047000
1052000,8.03200913160481,0.2602553367465735,-6.442409293651581,1,778,0.001,1052,1051000
1056000,8.707022798275693,0.26088430976867677,-6.300853648662567,1,769,0.001,1056,1055000
1060000,8.565205149404017,0.24521155764162542,-6.131718823909759,1,771,0.001,1060,1059000
1064000,8.66903856551906,0.23683966358751057,-5.994387833595276,1,770,0.001,1064,1063000
1068000,8.415589543450828,0.2640353542082012,-5.9969235706329345,1,769,0.001,1068,1067000
1072000,9.121374131527247,0.27802699104323986,-5.995354710578918,1,767,0.001,1072,1071000
1076000,9.009121520840447,0.27794907515123485,-6.034240329265595,1,777,0.001,1076,1075000
1080000,9.26851587056452,0.26623356477543714,-5.971486449718475,1,767,0.001,1080,1079000
1084000,9.095033565937081,0.278803311098367,-5.809709347248077,1,766,0.001,1084,1083000
1088000,9.103111257478647,0.24646357866562904,-5.730587110996247,1,771,0.001,1088,1087000
1092000,10.024913301002805,0.21013135378807782,-5.721259843349457,1,764,0.001,1092,1091000
1096000,10.12592370923873,0.20578908576071261,-5.635429557800293,1,776,0.001,1096,1095000
1100000,10.017993661369886,0.16827578503265977,-5.450404591560364,1,774,0.001,1100,1099000
1104000,9.96510151803581,0.18184515581279992,-5.387625623703003,1,774,0.001,1104,1103000
1108000,10.57613568170908,0.2299016906283796,-5.391561243534088,1,771,0.001,1108,1107000
1112000,10.437358781799269,0.18862624632194638,-5.235450863361359,1,782,0.001,1112,1111000
1116000,12.12034123125527,0.2010687583051622,-5.099754581451416,1,773,0.001,1116,1115000
1120000,10.204083195338987,0.18004350035265088,-5.007894031763077,1,772,0.001,1120,1119000
1124000,9.826179100936667,0.15114172825217248,-4.868382159471512,1,772,0.001,1124,1123000
1128000,9.693980656170321,0.1559120811931789,-4.822985892057419,1,776,0.001,1128,1127000
1132000,9.767012834979722,0.16627714698016643,-4.822566466331482,1,770,0.001,1132,1131000
1136000,9.638133587337874,0.18783141382038593,-4.821289275169373,1,781,0.001,1136,1135000
1140000,34.79052866558116,0.26113599015399813,-4.9458840668201445,1,761,0.001,1140,1139000
1144000,37.65164174570489,0.38128633685782554,-5.1130834803581235,1,775,0.001,1144,1143000
1148000,37.68769824511977,0.3696239731013775,-5.233219990730285,1,778,0.001,1148,1147000
1152000,39.57643429931465,0.41220397195219993,-5.345399769306183,1,772,0.001,1152,1151000
1156000,39.3046693538761,0.44168713327497244,-5.522863145828247,1,775,0.001,1156,1155000
1160000,39.338602258850656,0.39889713456481696,-5.418805529117584,1,779,0.001,1160,1159000
1164000,39.26599213604904,0.3773517960272729,-5.290945545196533,1,783,0.001,1164,1163000
1168000,39.405567172319984,0.40216959319263695,-5.175656835794449,1,778,0.001,1168,1167000
1172000,38.719625145696334,0.4980773811973631,-5.195015182495117,1,778,0.001,1172,1171000
1176000,38.65147558926561,0.42883427983336153,-5.118068455219269,1,772,0.001,1176,1175000
1180000,38.64373341779593,0.4088328585736454,-4.970782166004181,1,779,0.001,1180,1179000
1184000,38.65358474647695,0.3617227048277855,-4.96650729227066,1,769,0.001,1184,1183000
1188000,38.58880753590479,0.4731303088739514,-4.9169155189991,1,770,0.001,1188,1187000
1192000,37.68860326585037,0.4367875316552818,-4.830982432842255,1,772,0.001,1192,1191000
1196000,37.572316053088976,0.4885144870672375,-4.6913805384635925,1,782,0.001,1196,1195000
1200000,37.4141791223859,0.4858797258399427,-4.739662013053894,1,781,0.001,1200,1199000
1204000,37.81628278431558,0.5245523633249104,-4.8834388735294345,1,769,0.001,1204,1203000
1208000,37.44710356423519,0.4841180031336844,-4.982871158361435,1,770,0.001,1208,1207000
1212000,37.60692946840565,0.7679837673977017,-5.272853400468827,1,769,0.001,1212,1211000
1216000,35.781824158020434,0.5089160549603403,-5.2495763921737675,1,768,0.001,1216,1215000
1220000,54.6037133257636,0.7463263213261961,-5.632924907207489,1,764,0.001,1220,1219000
1224000,54.984987577102316,0.8667531669177115,-6.184376031398773,1,777,0.001,1224,1223000
1228000,54.56329673031979,0.6673929981403053,-6.131512061595917,1,776,0.001,1228,1227000
1232000,54.952497157771674,0.796172466121614,-6.0902297537326815,1,773,0.001,1232,1231000
1236000,54.869251132998244,0.8458850278034806,-6.3575732011795045,1,772,0.001,1236,1235000
1240000,29.94384643572984,0.7960447331480682,-6.274344727516175,1,768,0.001,1240,1239000
1244000,27.861478633450908,0.7464264012426138,-6.3386121826171875,1,774,0.001,1244,1243000
1248000,28.017236060675295,0.7492356978282333,-6.414390988349915,1,778,0.001,1248,1247000
